"",BBK01.OEAH68J,BBK01.OEAH68J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:18,
2002-01,4.355,
2002-04,4.254,
2002-07,4.264,
2002-10,4.460,
2003-01,4.605,
2003-04,4.641,
2003-07,4.725,
2003-10,4.868,
2004-01,4.923,
2004-04,4.966,
2004-07,5.399,
2004-10,5.243,
2005-01,5.589,
2005-04,5.646,
2005-07,5.636,
2005-10,5.752,
2006-01,5.770,
2006-04,5.705,
2006-07,5.604,
2006-10,5.503,
2007-01,5.253,
2007-04,5.060,
2007-07,4.848,
2007-10,4.815,
2008-01,4.640,
2008-04,4.466,
2008-07,4.259,
2008-10,4.347,
2009-01,4.543,
2009-04,4.542,
2009-07,4.589,
2009-10,4.764,
2010-01,4.808,
2010-04,4.768,
2010-07,4.769,
2010-10,4.816,
2011-01,4.790,
2011-04,4.745,
2011-07,4.704,
2011-10,4.767,
2012-01,4.865,
2012-04,4.913,
2012-07,4.933,
2012-10,5.068,
2013-01,5.126,
2013-04,5.133,
2013-07,5.138,
2013-10,5.218,
2014-01,5.006,
2014-04,4.955,
2014-07,4.921,
