"",BBK01.OEAH58P,BBK01.OEAH58P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:43,
2002-01,2.993,
2002-04,3.053,
2002-07,2.998,
2002-10,3.018,
2003-01,3.151,
2003-04,3.227,
2003-07,3.192,
2003-10,3.246,
2004-01,3.358,
2004-04,3.405,
2004-07,3.349,
2004-10,3.404,
2005-01,3.565,
2005-04,3.619,
2005-07,3.661,
2005-10,3.707,
2006-01,3.765,
2006-04,3.753,
2006-07,3.702,
2006-10,3.671,
2007-01,3.680,
2007-04,3.763,
2007-07,3.815,
2007-10,3.796,
2008-01,3.778,
2008-04,3.785,
2008-07,3.755,
2008-10,3.874,
2009-01,4.239,
2009-04,4.552,
2009-07,4.823,
2009-10,5.038,
2010-01,5.259,
2010-04,5.457,
2010-07,5.571,
2010-10,5.713,
2011-01,5.721,
2011-04,5.754,
2011-07,5.833,
2011-10,6.072,
2012-01,6.100,
2012-04,6.291,
2012-07,6.482,
2012-10,6.677,
2013-01,6.828,
2013-04,7.037,
2013-07,7.078,
2013-10,7.333,
2014-01,7.441,
2014-04,7.580,
2014-07,7.650,
