"",BBK01.OEAA16H,BBK01.OEAA16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:48,
2002-01,10.212,
2002-04,10.173,
2002-07,10.098,
2002-10,10.058,
2003-01,9.993,
2003-04,9.827,
2003-07,9.764,
2003-10,10.697,
2004-01,9.485,
2004-04,9.370,
2004-07,9.256,
2004-10,9.159,
2005-01,9.105,
2005-04,8.996,
2005-07,8.819,
2005-10,9.192,
2006-01,9.083,
2006-04,8.992,
2006-07,8.879,
2006-10,8.663,
2007-01,8.477,
2007-04,9.982,
2007-07,9.797,
2007-10,9.406,
2008-01,9.014,
2008-04,8.894,
2008-07,8.597,
2008-10,8.490,
2009-01,8.358,
2009-04,8.151,
2009-07,8.121,
2009-10,7.933,
2010-01,7.795,
2010-04,7.649,
2010-07,7.495,
2010-10,7.348,
2011-01,7.230,
2011-04,7.100,
2011-07,7.022,
2011-10,6.861,
2012-01,6.737,
2012-04,6.590,
2012-07,6.465,
2012-10,6.377,
2013-01,6.202,
2013-04,6.039,
2013-07,5.978,
2013-10,5.873,
2014-01,5.788,
2014-04,5.679,
2014-07,5.486,
