"",BBK01.OELB24O,BBK01.OELB24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:38,
2002-01,0.082,
2002-04,0.083,
2002-07,0.087,
2002-10,0.088,
2003-01,0.124,
2003-04,0.111,
2003-07,0.112,
2003-10,0.119,
2004-01,0.116,
2004-04,0.120,
2004-07,0.121,
2004-10,0.121,
2005-01,0.120,
2005-04,0.120,
2005-07,0.123,
2005-10,0.125,
2006-01,0.126,
2006-04,0.120,
2006-07,0.123,
2006-10,0.123,
2007-01,0.132,
2007-04,0.130,
2007-07,0.127,
2007-10,0.120,
2008-01,0.098,
2008-04,0.096,
2008-07,0.092,
2008-10,0.098,
2009-01,0.106,
2009-04,0.112,
2009-07,0.124,
2009-10,0.131,
2010-01,0.132,
2010-04,0.138,
2010-07,0.141,
2010-10,0.136,
2011-01,0.148,
2011-04,0.152,
2011-07,0.153,
2011-10,0.164,
2012-01,0.161,
2012-04,0.165,
2012-07,0.166,
2012-10,0.169,
2013-01,0.179,
2013-04,0.185,
2013-07,0.188,
2013-10,0.205,
2014-01,0.208,
2014-04,0.210,
2014-07,0.214,
