"",BBK01.OELB16S,BBK01.OELB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:25,
2002-01,0.585,
2002-04,0.586,
2002-07,0.592,
2002-10,0.593,
2003-01,0.579,
2003-04,0.580,
2003-07,0.574,
2003-10,0.567,
2004-01,0.561,
2004-04,0.561,
2004-07,0.563,
2004-10,0.557,
2005-01,0.546,
2005-04,0.541,
2005-07,0.535,
2005-10,0.530,
2006-01,0.521,
2006-04,0.520,
2006-07,0.514,
2006-10,0.525,
2007-01,0.520,
2007-04,0.463,
2007-07,0.463,
2007-10,0.470,
2008-01,0.474,
2008-04,0.476,
2008-07,0.483,
2008-10,0.488,
2009-01,0.493,
2009-04,0.497,
2009-07,0.525,
2009-10,0.595,
2010-01,0.590,
2010-04,0.595,
2010-07,0.598,
2010-10,0.631,
2011-01,0.625,
2011-04,0.632,
2011-07,0.635,
2011-10,0.664,
2012-01,0.661,
2012-04,1.051,
2012-07,1.065,
2012-10,1.071,
2013-01,1.077,
2013-04,1.070,
2013-07,1.095,
2013-10,1.097,
2014-01,1.092,
2014-04,1.104,
2014-07,1.113,
