"",BBK01.OEAE04H,BBK01.OEAE04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:04,
2002-01,43.716,
2002-04,44.620,
2002-07,45.034,
2002-10,45.354,
2003-01,44.902,
2003-04,44.702,
2003-07,44.166,
2003-10,46.602,
2004-01,45.400,
2004-04,43.880,
2004-07,44.054,
2004-10,44.104,
2005-01,43.540,
2005-04,42.981,
2005-07,42.539,
2005-10,41.402,
2006-01,41.207,
2006-04,40.712,
2006-07,40.097,
2006-10,39.282,
2007-01,38.630,
2007-04,37.700,
2007-07,37.861,
2007-10,38.606,
2008-01,38.323,
2008-04,37.962,
2008-07,37.939,
2008-10,37.839,
2009-01,33.935,
2009-04,29.430,
2009-07,29.338,
2009-10,31.111,
2010-01,29.100,
2010-04,28.979,
2010-07,29.112,
2010-10,28.884,
2011-01,29.641,
2011-04,29.119,
2011-07,29.221,
2011-10,28.948,
2012-01,29.204,
2012-04,28.920,
2012-07,29.100,
2012-10,29.620,
2013-01,29.739,
2013-04,29.961,
2013-07,28.439,
2013-10,28.441,
2014-01,28.457,
2014-04,28.981,
2014-07,29.183,
