"",BBK01.OELO02M,BBK01.OELO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:10,
2002-01,1.542,
2002-04,1.694,
2002-07,1.559,
2002-10,1.693,
2003-01,1.972,
2003-04,1.378,
2003-07,1.483,
2003-10,1.575,
2004-01,1.909,
2004-04,1.403,
2004-07,1.450,
2004-10,1.770,
2005-01,1.768,
2005-04,1.460,
2005-07,1.352,
2005-10,1.628,
2006-01,1.894,
2006-04,1.466,
2006-07,1.491,
2006-10,1.674,
2007-01,1.885,
2007-04,1.543,
2007-07,1.583,
2007-10,1.684,
2008-01,1.842,
2008-04,1.356,
2008-07,1.391,
2008-10,1.842,
2009-01,2.000,
2009-04,1.571,
2009-07,1.794,
2009-10,2.129,
2010-01,1.872,
2010-04,1.284,
2010-07,1.221,
2010-10,1.350,
2011-01,1.486,
2011-04,1.347,
2011-07,1.332,
2011-10,1.393,
2012-01,1.482,
2012-04,1.281,
2012-07,1.355,
2012-10,1.552,
2013-01,1.601,
2013-04,1.352,
2013-07,1.306,
2013-10,1.382,
2014-01,1.429,
2014-04,1.262,
2014-07,1.246,
