"",BBK01.CEBKX0,BBK01.CEBKX0_FLAGS
"",Other equity debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:27,
1997-10,0.5,
1998-01,0.6,
1998-04,0.6,
1998-07,0.7,
1998-10,0.8,
1999-01,0.9,
1999-04,1.5,
1999-07,1.3,
1999-10,1.5,
2000-01,1.7,
2000-04,2.3,
2000-07,2.3,
2000-10,2.4,
2001-01,2.7,
2001-04,2.5,
2001-07,2.7,
2001-10,2.7,
2002-01,2.6,
2002-04,2.0,
2002-07,2.0,
2002-10,1.9,
2003-01,1.6,
2003-04,1.8,
2003-07,2.0,
2003-10,1.8,
2004-01,1.8,
2004-04,2.0,
2004-07,1.9,
2004-10,1.8,
2005-01,1.8,
2005-04,1.9,
2005-07,1.9,
2005-10,1.9,
2006-01,2.0,
2006-04,2.0,
2006-07,2.0,
2006-10,2.1,
2007-01,2.1,
2007-04,2.1,
2007-07,2.0,
2007-10,1.9,
2008-01,2.0,
2008-04,2.0,
2008-07,1.8,
2008-10,1.7,
2009-01,1.8,
2009-04,1.9,
2009-07,1.7,
2009-10,1.7,
2010-01,1.7,
2010-04,1.6,
2010-07,1.6,
2010-10,1.7,
2011-01,1.7,
2011-04,1.8,
2011-07,1.9,
2011-10,1.8,
2012-01,1.9,
2012-04,2.0,
2012-07,1.9,
2012-10,1.9,
2013-01,2.0,
2013-04,2.0,
2013-07,1.9,
2013-10,1.9,
2014-01,2.0,
