"",BBSF2.M.1.S.I0122.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Domestic credit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:30,
2004-01,1,
2004-02,1,
2004-03,1,
2004-04,2,
2004-05,2,
2004-06,3,
2004-07,3,
2004-08,3,
2004-09,3,
2004-10,3,
2004-11,3,
2004-12,5,
2005-01,9,
2005-02,39,
2005-03,62,
2005-04,67,
2005-05,78,
2005-06,85,
2005-07,96,
2005-08,95,
2005-09,115,
2005-10,148,
2005-11,207,
2005-12,260,
2006-01,314,
2006-02,312,
2006-03,313,
2006-04,309,
2006-05,314,
2006-06,316,
2006-07,314,
2006-08,316,
2006-09,313,
2006-10,315,
2006-11,314,
2006-12,315,
2007-01,312,
2007-02,313,
2007-03,304,
2007-04,245,
2007-05,242,
2007-06,234,
2007-07,222,
2007-08,207,
2007-09,203,
2007-10,197,
2007-11,194,
2007-12,156,
2008-01,157,
2008-02,155,
2008-03,155,
2008-04,155,
2008-05,153,
2008-06,152,
2008-07,175,
2008-08,175,
2008-09,176,
2008-10,175,
2008-11,172,
2008-12,173,
2009-01,174,
2009-02,177,
2009-03,169,
2009-04,184,
2009-05,205,
2009-06,207,
2009-07,215,
2009-08,218,
2009-09,196,
2009-10,197,
2009-11,197,
2009-12,200,
2010-01,200,
2010-02,197,
2010-03,189,
2010-04,180,
2010-05,162,
2010-06,160,
2010-07,157,
2010-08,157,
2010-09,157,
2010-10,156,
2010-11,152,
2010-12,150,
2011-01,148,
2011-02,148,
2011-03,148,
2011-04,150,
2011-05,148,
2011-06,146,
2011-07,149,
2011-08,149,
2011-09,153,
2011-10,168,
2011-11,161,
2011-12,156,
2012-01,155,
2012-02,154,
2012-03,152,
2012-04,151,
2012-05,150,
2012-06,149,
2012-07,147,
2012-08,142,
2012-09,142,
2012-10,141,
2012-11,136,
2012-12,134,
2013-01,133,
2013-02,121,
2013-03,120,
2013-04,120,
2013-05,118,
2013-06,117,
2013-07,123,
2013-08,123,
2013-09,122,
2013-10,120,
2013-11,117,
2013-12,119,
2014-01,119,
2014-02,116,
2014-03,113,
2014-04,112,
2014-05,111,
2014-06,110,
2014-07,110,
2014-08,86,
2014-09,88,
2014-10,87,
2014-11,88,
