"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:52,
1991-01,9161.954,
1991-04,83.082,
1991-07,2226.394,
1991-10,2573.923,
1992-01,4188.124,
1992-04,4955.130,
1992-07,13231.759,
1992-10,-458.607,
1993-01,7827.131,
1993-04,1496.504,
1993-07,3974.695,
1993-10,6046.908,
1994-01,5504.322,
1994-04,4569.235,
1994-07,8709.959,
1994-10,14519.225,
1995-01,16271.870,
1995-04,3056.581,
1995-07,2580.614,
1995-10,12951.940,
1996-01,9721.406,
1996-04,246.676,
1996-07,2306.919,
1996-10,10640.039,
1997-01,15002.418,
1997-04,17998.134,
1997-07,-4331.126,
1997-10,3735.773,
1998-01,30045.752,
1998-04,17439.214,
1998-07,5882.856,
1998-10,20468.138,
1999-01,28870.495,
1999-04,6045.461,
1999-07,10233.086,
1999-10,-16686.889,
2000-01,28155.778,
2000-04,-70.463,
2000-07,-5590.680,
2000-10,-2774.071,
2001-01,27189.236,
2001-04,-3429.908,
2001-07,-2024.623,
2001-10,11266.085,
2002-01,-125.818,
2002-04,11123.051,
2002-07,14599.387,
2002-10,9723.465,
2003-01,16607.773,
2003-04,3842.710,
2003-07,4229.472,
2003-10,-21749.748,
2004-01,18121.959,
2004-04,-10012.167,
2004-07,8067.270,
2004-10,-1288.750,
2005-01,18884.947,
2005-04,5873.098,
2005-07,-18081.203,
2005-10,13795.415,
2006-01,15247.356,
2006-04,11204.982,
2006-07,8438.604,
2006-10,2661.000,
2007-01,5698.125,
2007-04,20313.207,
2007-07,34188.215,
2007-10,-13761.832,
2008-01,52097.909,
2008-04,3743.922,
2008-07,-6135.600,
2008-10,-55595.018,
2009-01,-17293.301,
2009-04,-7731.570,
2009-07,27.448,
2009-10,-4726.928,
2010-01,-613.247,
2010-04,19020.448,
2010-07,30465.623,
2010-10,24886.108,
2011-01,-11537.546,
2011-04,-5590.320,
2011-07,26391.029,
2011-10,-2267.354,
2012-01,17378.957,
2012-04,11215.105,
2012-07,-5073.891,
2012-10,-1030.339,
2013-01,7070.714,
2013-04,28397.037,
2013-07,-20269.540,
2013-10,-57237.851,
2014-01,11840.893,Provisional value
2014-04,35711.350,Provisional value
2014-07,-7060.033,Provisional value
2014-10,-39851.775,Provisional value
