"",BBK01.OEAD32H,BBK01.OEAD32H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:55,
2002-01,0.767,
2002-04,0.756,
2002-07,0.737,
2002-10,0.707,
2003-01,0.687,
2003-04,0.697,
2003-07,0.688,
2003-10,0.761,
2004-01,0.755,
2004-04,0.718,
2004-07,0.686,
2004-10,0.669,
2005-01,0.655,
2005-04,0.636,
2005-07,0.624,
2005-10,0.580,
2006-01,0.592,
2006-04,0.568,
2006-07,0.525,
2006-10,0.537,
2007-01,0.502,
2007-04,0.465,
2007-07,0.486,
2007-10,0.464,
2008-01,0.475,
2008-04,0.459,
2008-07,0.470,
2008-10,0.572,
2009-01,0.593,
2009-04,0.567,
2009-07,0.617,
2009-10,0.607,
2010-01,0.591,
2010-04,0.604,
2010-07,0.584,
2010-10,0.579,
2011-01,0.546,
2011-04,0.543,
2011-07,0.527,
2011-10,0.526,
2012-01,0.557,
2012-04,0.551,
2012-07,0.544,
2012-10,0.529,
2013-01,0.501,
2013-04,0.496,
2013-07,0.506,
2013-10,0.517,
2014-01,0.541,
2014-04,0.546,
2014-07,0.539,
