"",BBFB1.Q.N.DE.RU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:37,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-258.653,
1992-07,-457.848,
1992-10,-390.867,
1993-01,-397.013,
1993-04,-455.276,
1993-07,-499.452,
1993-10,-594.289,
1994-01,-442.270,
1994-04,-381.958,
1994-07,-461.004,
1994-10,-373.905,
1995-01,-189.610,
1995-04,-299.509,
1995-07,-171.887,
1995-10,-243.480,
1996-01,-120.767,
1996-04,-112.311,
1996-07,-138.355,
1996-10,-127.725,
1997-01,-78.090,
1997-04,-73.670,
1997-07,-76.030,
1997-10,-68.613,
1998-01,-73.995,
1998-04,-41.569,
1998-07,-34.140,
1998-10,-36.310,
1999-01,-38.181,
1999-04,-76.622,
1999-07,-90.413,
1999-10,-128.061,
2000-01,-37.194,
2000-04,-48.454,
2000-07,-43.291,
2000-10,-69.753,
2001-01,-44.825,
2001-04,-47.639,
2001-07,-49.806,
2001-10,-57.722,
2002-01,-49.413,
2002-04,-84.419,
2002-07,-52.773,
2002-10,-68.167,
2003-01,-43.964,
2003-04,-66.499,
2003-07,-53.205,
2003-10,-65.187,
2004-01,-49.932,
2004-04,-66.244,
2004-07,-51.429,
2004-10,-194.003,
2005-01,-70.428,
2005-04,-70.181,
2005-07,-69.777,
2005-10,-68.270,
2006-01,-44.445,
2006-04,-56.878,
2006-07,-56.886,
2006-10,-40.794,
2007-01,-35.741,
2007-04,-39.056,
2007-07,-52.198,
2007-10,-39.927,
2008-01,-42.643,
2008-04,-41.212,
2008-07,-55.776,
2008-10,-104.676,
2009-01,-56.676,
2009-04,-37.466,
2009-07,-54.857,
2009-10,-38.378,
2010-01,-47.378,
2010-04,-91.229,
2010-07,-60.849,
2010-10,-75.774,
2011-01,-95.743,
2011-04,-40.414,
2011-07,-44.867,
2011-10,-34.017,
2012-01,-47.239,
2012-04,-45.122,
2012-07,-53.027,
2012-10,-41.811,
2013-01,-35.070,
2013-04,-47.596,
2013-07,-35.436,
2013-10,-28.933,
2014-01,-43.931,Provisional value
2014-04,-32.911,Provisional value
2014-07,-38.794,Provisional value
