"",BBK01.OEAI08T,BBK01.OEAI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:55,
2002-01,8.659,
2002-04,8.390,
2002-07,8.404,
2002-10,8.710,
2003-01,8.888,
2003-04,8.959,
2003-07,9.085,
2003-10,9.257,
2004-01,9.315,
2004-04,9.263,
2004-07,9.205,
2004-10,9.392,
2005-01,10.176,
2005-04,10.154,
2005-07,10.223,
2005-10,10.378,
2006-01,10.384,
2006-04,10.280,
2006-07,10.158,
2006-10,10.126,
2007-01,10.054,
2007-04,9.950,
2007-07,9.800,
2007-10,9.854,
2008-01,9.756,
2008-04,9.697,
2008-07,9.545,
2008-10,9.575,
2009-01,9.759,
2009-04,9.769,
2009-07,9.938,
2009-10,10.213,
2010-01,10.401,
2010-04,10.485,
2010-07,10.573,
2010-10,10.827,
2011-01,10.909,
2011-04,10.855,
2011-07,10.724,
2011-10,10.814,
2012-01,10.928,
2012-04,10.919,
2012-07,10.991,
2012-10,11.204,
2013-01,11.325,
2013-04,11.339,
2013-07,11.376,
2013-10,11.481,
2014-01,11.471,
2014-04,11.462,
2014-07,11.451,
