"",BBFN1.M.DE.N.1.A.BA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:43,
2006-03,0.048,
2006-04,0.054,
2006-05,0.060,
2006-06,0.063,
2006-07,0.063,
2006-08,0.062,
2006-09,0.067,
2006-10,0.065,
2006-11,0.064,
2006-12,0.063,
2007-01,0.064,
2007-02,0.064,
2007-03,0.064,
2007-04,0.065,
2007-05,0.072,
2007-06,0.077,
2007-07,0.077,
2007-08,0.080,
2007-09,0.080,
2007-10,0.078,
2007-11,0.076,
2007-12,0.076,
2008-01,0.076,
2008-02,0.074,
2008-03,0.093,
2008-04,0.106,
2008-05,0.109,
2008-06,0.113,
2008-07,0.113,
2008-08,0.110,
2008-09,0.107,
2008-10,0.104,
2008-11,0.104,
2008-12,0.170,
2009-01,0.183,
2009-02,0.184,
2009-03,0.181,
2009-04,0.181,
2009-05,0.196,
2009-06,0.200,
2009-07,0.192,
2009-08,0.195,
2009-09,0.195,
2009-10,0.208,
2009-11,0.208,
2009-12,0.209,
2010-01,0.204,
2010-02,0.205,
2010-03,0.204,
2010-04,0.203,
2010-05,0.202,
2010-06,0.197,
2010-07,0.173,
2010-08,0.173,
2010-09,0.171,
2010-10,0.167,
2010-11,0.180,
2010-12,0.153,
2011-01,0.162,
2011-02,0.161,
2011-03,0.156,
2011-04,0.155,
2011-05,0.155,
2011-06,0.156,
2011-07,0.152,
2011-08,0.146,
2011-09,0.150,
2011-10,0.146,
2011-11,0.147,
2011-12,0.146,
2012-01,0.143,
2012-02,0.138,
2012-03,0.141,
2012-04,0.139,
2012-05,0.139,
2012-06,0.138,
2012-07,0.146,
2012-08,0.129,
2012-09,0.123,
2012-10,0.120,
2012-11,0.120,
2012-12,0.117,
2013-01,0.113,
2013-02,0.113,
2013-03,0.117,
2013-04,0.119,
2013-05,0.119,
2013-06,0.112,
2013-07,0.106,
2013-08,0.111,
2013-09,0.103,
2013-10,0.103,
2013-11,0.106,
2013-12,0.114,
2014-01,0.107,
2014-02,0.108,
2014-03,0.105,
2014-04,0.103,
2014-05,0.100,
2014-06,0.095,
2014-07,0.091,
2014-08,0.090,
2014-09,0.088,
2014-10,0.082,
2014-11,0.090,
2014-12,0.071,
