"",BBK01.OEHK06S,BBK01.OEHK06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:00,
2002-01,0.050,
2002-04,0.051,
2002-07,0.052,
2002-10,0.053,
2003-01,0.051,
2003-04,0.051,
2003-07,0.049,
2003-10,0.050,
2004-01,0.051,
2004-04,0.054,
2004-07,0.054,
2004-10,0.055,
2005-01,0.056,
2005-04,0.056,
2005-07,0.055,
2005-10,0.054,
2006-01,0.052,
2006-04,0.052,
2006-07,0.052,
2006-10,0.054,
2007-01,0.054,
2007-04,0.049,
2007-07,0.051,
2007-10,0.051,
2008-01,0.049,
2008-04,0.048,
2008-07,0.049,
2008-10,0.050,
2009-01,0.051,
2009-04,0.050,
2009-07,0.046,
2009-10,0.045,
2010-01,0.041,
2010-04,0.038,
2010-07,0.037,
2010-10,0.036,
2011-01,0.039,
2011-04,0.039,
2011-07,0.038,
2011-10,0.036,
2012-01,0.035,
2012-04,0.037,
2012-07,0.037,
2012-10,0.036,
2013-01,0.036,
2013-04,0.036,
2013-07,0.035,
2013-10,0.034,
2014-01,0.035,
2014-04,0.031,
2014-07,0.027,
