"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:37,
2009-09,1234,
2009-10,1235,
2009-11,1339,
2009-12,1403,
2010-01,1366,
2010-02,1415,
2010-03,1621,
2010-04,1637,
2010-05,1629,
2010-06,1695,
2010-07,1737,
2010-08,1754,
2010-09,1772,
2010-10,1719,
2010-11,1602,
2010-12,1822,
2011-01,1882,
2011-02,1970,
2011-03,1965,
2011-04,1878,
2011-05,1726,
2011-06,1585,
2011-07,1617,
2011-08,1485,
2011-09,1392,
2011-10,1526,
2011-11,1491,
2011-12,1538,
2012-01,1550,
2012-02,1610,
2012-03,1620,
2012-04,1607,
2012-05,1539,
2012-06,1645,
2012-07,1720,
2012-08,1794,
2012-09,1752,
2012-10,1720,
2012-11,1723,
2012-12,1654,
2013-01,1692,
2013-02,1654,
2013-03,1602,
2013-04,1590,
2013-05,1590,
2013-06,1591,
2013-07,1628,
2013-08,1665,
2013-09,1705,
2013-10,1809,
2013-11,1867,
2013-12,1822,
2014-01,1849,
2014-02,1976,
2014-03,2137,
2014-04,2110,
2014-05,2132,
2014-06,2121,
2014-07,2155,
2014-08,2189,
2014-09,2138,
2014-10,2085,
2014-11,1997,
