"",BBFN1.M.DE.N.1.L.PT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:24,
1982-09,0.012,
1982-10,0.012,
1982-11,0.012,
1982-12,0.005,
1983-01,0.005,
1983-02,0.005,
1983-03,0.004,
1983-04,0.004,
1983-05,0.005,
1983-06,0.005,
1983-07,0.004,
1983-08,0.004,
1983-09,0.005,
1983-10,0.005,
1983-11,0.005,
1983-12,0.005,
1984-01,0.004,
1984-02,0.005,
1984-03,0.005,
1984-04,0.006,
1984-05,0.006,
1984-06,0.007,
1984-07,0.008,
1984-08,0.008,
1984-09,0.006,
1984-10,0.006,
1984-11,0.005,
1984-12,0.005,
1985-01,0.006,
1985-02,0.006,
1985-03,0.007,
1985-04,0.007,
1985-05,0.006,
1985-06,0.006,
1985-07,0.005,
1985-08,0.005,
1985-09,0.005,
1985-10,0.005,
1985-11,0.005,
1985-12,0.005,
1986-01,0.005,
1986-02,0.006,
1986-03,0.006,
1986-04,0.006,
1986-05,0.006,
1986-06,0.006,
1986-07,0.006,
1986-08,0.007,
1986-09,0.006,
1986-10,0.006,
1986-11,0.006,
1986-12,0.006,
1987-01,0.008,
1987-02,0.006,
1987-03,0.006,
1987-04,0.004,
1987-05,0.005,
1987-06,0.006,
1987-07,0.008,
1987-08,0.006,
1987-09,0.006,
1987-10,0.007,
1987-11,0.008,
1987-12,0.006,
1988-01,0.006,
1988-02,0.013,
1988-03,0.012,
1988-04,0.015,
1988-05,0.010,
1988-06,0.003,
1988-07,0.007,
1988-08,0.003,
1988-09,0.003,
1988-10,0.003,
1988-11,0.004,
1988-12,0.003,
1989-01,0.003,
1989-02,0.003,
1989-03,0.003,
1989-04,0.004,
1989-05,0.005,
1989-06,0.005,
1989-07,0.005,
1989-08,0.004,
1989-09,0.003,
1989-10,0.003,
1989-11,0.004,
1989-12,0.003,
1990-01,0.004,
1990-02,0.007,
1990-03,0.004,
1990-04,0.004,
1990-05,0.005,
1990-06,0.005,
1990-07,0.005,
1990-08,0.004,
1990-09,0.005,
1990-10,0.005,
1990-11,0.005,
1990-12,0.005,
1991-01,0.004,
1991-02,0.005,
1991-03,0.007,
1991-04,0.005,
1991-05,0.006,
1991-06,0.007,
1991-07,0.007,
1991-08,0.007,
1991-09,0.006,
1991-10,0.008,
1991-11,0.008,
1991-12,0.008,
1992-01,0.009,
1992-02,0.008,
1992-03,0.007,
1992-04,0.007,
1992-05,0.008,
1992-06,0.010,
1992-07,0.011,
1992-08,0.012,
1992-09,0.011,
1992-10,0.006,
1992-11,0.006,
1992-12,0.009,
1993-01,0.011,
1993-02,0.013,
1993-03,0.009,
1993-04,0.057,
1993-05,0.057,
1993-06,0.056,
1993-07,0.056,
1993-08,0.056,
1993-09,0.055,
1993-10,0.061,
1993-11,0.073,
1993-12,0.076,
1994-01,0.062,
1994-02,0.060,
1994-03,0.058,
1994-04,0.068,
1994-05,0.064,
1994-06,0.072,
1994-07,0.076,
1994-08,0.075,
1994-09,0.073,
1994-10,0.076,
1994-11,0.072,
1994-12,0.071,
1995-01,0.075,
1995-02,0.072,
1995-03,0.074,
1995-04,0.076,
1995-05,0.074,
1995-06,0.075,
1995-07,0.081,
1995-08,0.086,
1995-09,0.088,
1995-10,0.085,
1995-11,0.088,
1995-12,0.082,
1996-01,0.084,
1996-02,0.082,
1996-03,0.084,
1996-04,0.083,
1996-05,0.079,
1996-06,0.089,
1996-07,0.098,
1996-08,0.090,
1996-09,0.086,
1996-10,0.095,
1996-11,0.112,
1996-12,0.145,
1997-01,0.116,
1997-02,0.115,
1997-03,0.137,
1997-04,0.161,
1997-05,0.249,
1997-06,0.234,
1997-07,0.215,
1997-08,0.206,
1997-09,0.227,
1997-10,0.228,
1997-11,0.225,
1997-12,0.249,
1998-01,0.225,
1998-02,0.234,
1998-03,0.232,
1998-04,0.228,
1998-05,0.225,
1998-06,0.273,
1998-07,0.239,
1998-08,0.259,
1998-09,0.267,
1998-10,0.266,
1998-11,0.260,
1998-12,0.467,
1999-01,0.484,
1999-02,0.509,
1999-03,0.658,
1999-04,0.632,
1999-05,0.678,
1999-06,0.662,
1999-07,0.726,
1999-08,0.868,
1999-09,0.877,
1999-10,0.928,
1999-11,0.922,
1999-12,0.943,
2000-01,1.010,
2000-02,0.933,
2000-03,0.913,
2000-04,0.820,
2000-05,0.878,
2000-06,0.864,
2000-07,0.825,
2000-08,0.991,
2000-09,0.985,
2000-10,0.979,
2000-11,0.967,
2000-12,0.970,
2001-01,0.939,
2001-02,0.887,
2001-03,0.808,
2001-04,0.976,
2001-05,0.798,
2001-06,0.812,
2001-07,0.725,
2001-08,0.939,
2001-09,0.851,
2001-10,0.856,
2001-11,0.767,
2001-12,0.978,
2002-01,0.796,
2002-02,0.803,
2002-03,0.760,
2002-04,0.727,
2002-05,0.734,
2002-06,0.803,
2002-07,0.800,
2002-08,0.801,
2002-09,0.764,
2002-10,0.731,
2002-11,0.680,
2002-12,0.612,
2003-01,0.675,
2003-02,0.663,
2003-03,0.693,
2003-04,0.619,
2003-05,0.611,
2003-06,0.572,
2003-07,0.549,
2003-08,0.558,
2003-09,0.473,
2003-10,0.475,
2003-11,0.468,
2003-12,0.521,
2004-01,0.536,
2004-02,0.916,
2004-03,0.907,
2004-04,0.926,
2004-05,0.917,
2004-06,0.929,
2004-07,0.987,
2004-08,1.009,
2004-09,0.978,
2004-10,0.917,
2004-11,0.865,
2004-12,0.848,
2005-01,0.818,
2005-02,1.002,
2005-03,0.939,
2005-04,0.936,
2005-05,0.931,
2005-06,0.932,
2005-07,0.954,
2005-08,1.018,
2005-09,1.109,
2005-10,1.060,
2005-11,1.052,
2005-12,1.046,
2006-01,1.015,
2006-02,1.134,
2006-03,0.991,
2006-04,1.120,
2006-05,1.123,
2006-06,1.022,
2006-07,1.015,
2006-08,1.063,
2006-09,1.054,
2006-10,1.345,
2006-11,1.282,
2006-12,1.305,
2007-01,1.298,
2007-02,1.242,
2007-03,1.274,
2007-04,1.596,
