"",BBK01.OEAC56P,BBK01.OEAC56P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:43,
2002-01,1.427,
2002-04,1.435,
2002-07,1.446,
2002-10,1.453,
2003-01,1.450,
2003-04,1.445,
2003-07,1.514,
2003-10,1.533,
2004-01,1.277,
2004-04,1.322,
2004-07,1.362,
2004-10,1.285,
2005-01,1.262,
2005-04,1.262,
2005-07,1.283,
2005-10,1.287,
2006-01,1.297,
2006-04,1.310,
2006-07,1.314,
2006-10,1.332,
2007-01,1.338,
2007-04,1.313,
2007-07,1.325,
2007-10,1.359,
2008-01,1.362,
2008-04,1.379,
2008-07,1.412,
2008-10,1.431,
2009-01,1.402,
2009-04,1.447,
2009-07,1.476,
2009-10,1.446,
2010-01,1.510,
2010-04,1.764,
2010-07,1.671,
2010-10,1.658,
2011-01,1.634,
2011-04,1.629,
2011-07,1.695,
2011-10,1.703,
2012-01,1.694,
2012-04,1.807,
2012-07,1.826,
2012-10,1.823,
2013-01,1.805,
2013-04,1.791,
2013-07,1.737,
2013-10,1.774,
2014-01,1.749,
2014-04,1.742,
2014-07,1.763,
