"",BBSF2.M.1.S.A0000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Non-residents / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:50,
2009-09,13,
2009-10,13,
2009-11,39,
2009-12,25,
2010-01,29,
2010-02,5,
2010-03,2,
2010-04,2,
2010-05,19,
2010-06,2,
2010-07,92,
2010-08,13,
2010-09,12,
2010-10,234,
2010-11,4,
2010-12,172,
2011-01,7,
2011-02,2,
2011-03,35,
2011-04,28,
2011-05,114,
2011-06,88,
2011-07,6,
2011-08,36,
2011-09,10,
2011-10,37,
2011-11,76,
2011-12,72,
2012-01,30,
2012-02,100,
2012-03,14,
2012-04,980,
2012-05,103,
2012-06,246,
2012-07,106,
2012-08,72,
2012-09,1,
2012-10,73,
2012-11,109,
2012-12,25,
2013-01,147,
2013-02,30,
2013-03,179,
2013-04,67,
2013-05,4,
2013-06,37,
2013-07,26,
2013-08,27,
2013-09,61,
2013-10,-,Nothing exists
2013-11,7,
2013-12,84,
2014-01,19,
2014-02,4,
2014-03,237,
2014-04,55,
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,33,
2014-08,45,
2014-09,60,
2014-10,28,
2014-11,108,
