"",BBK01.OEAH64O,BBK01.OEAH64O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:11,
2002-01,2.943,
2002-04,3.002,
2002-07,3.160,
2002-10,3.543,
2003-01,3.408,
2003-04,3.328,
2003-07,3.301,
2003-10,3.380,
2004-01,3.390,
2004-04,3.425,
2004-07,3.517,
2004-10,3.689,
2005-01,3.693,
2005-04,3.663,
2005-07,3.575,
2005-10,3.645,
2006-01,3.744,
2006-04,3.917,
2006-07,4.087,
2006-10,4.327,
2007-01,4.793,
2007-04,5.269,
2007-07,5.804,
2007-10,6.363,
2008-01,6.685,
2008-04,6.968,
2008-07,7.295,
2008-10,7.258,
2009-01,7.303,
2009-04,6.317,
2009-07,5.712,
2009-10,5.419,
2010-01,5.222,
2010-04,5.134,
2010-07,5.036,
2010-10,5.148,
2011-01,5.288,
2011-04,5.523,
2011-07,5.678,
2011-10,5.860,
2012-01,5.901,
2012-04,5.828,
2012-07,5.595,
2012-10,5.334,
2013-01,5.048,
2013-04,4.812,
2013-07,4.586,
2013-10,4.431,
2014-01,4.229,
2014-04,4.124,
2014-07,3.964,
