"",BBK01.OEAH71K,BBK01.OEAH71K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:54,
2002-01,6.479,
2002-04,6.847,
2002-07,5.633,
2002-10,6.218,
2003-01,4.890,
2003-04,5.126,
2003-07,5.001,
2003-10,5.175,
2004-01,4.448,
2004-04,4.986,
2004-07,6.077,
2004-10,3.880,
2005-01,3.202,
2005-04,2.666,
2005-07,2.610,
2005-10,2.283,
2006-01,3.359,
2006-04,3.869,
2006-07,3.983,
2006-10,3.828,
2007-01,3.759,
2007-04,3.885,
2007-07,3.060,
2007-10,3.859,
2008-01,3.048,
2008-04,4.609,
2008-07,4.364,
2008-10,4.213,
2009-01,3.204,
2009-04,4.406,
2009-07,3.941,
2009-10,4.347,
2010-01,4.067,
2010-04,4.302,
2010-07,3.561,
2010-10,3.026,
2011-01,3.186,
2011-04,3.075,
2011-07,3.126,
2011-10,2.800,
2012-01,3.643,
2012-04,3.910,
2012-07,3.453,
2012-10,3.012,
2013-01,3.830,
2013-04,4.249,
2013-07,4.365,
2013-10,3.522,
2014-01,3.717,
2014-04,4.047,
2014-07,4.409,
