"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:30,
1991-01,-1.583,
1991-04,16.010,
1991-07,-0.719,
1991-10,-0.195,
1992-01,-0.962,
1992-04,0.729,
1992-07,3.246,
1992-10,-8.663,
1993-01,-10.480,
1993-04,-15.702,
1993-07,-4.438,
1993-10,0.050,
1994-01,3.116,
1994-04,16.719,
1994-07,8.169,
1994-10,69.941,
1995-01,-0.851,
1995-04,43.109,
1995-07,50.454,
1995-10,-173.130,
1996-01,35.916,
1996-04,23.095,
1996-07,18.952,
1996-10,150.784,
1997-01,320.983,
1997-04,-5.442,
1997-07,930.709,
1997-10,-262.699,
1998-01,1079.054,
1998-04,540.477,
1998-07,-2102.133,
1998-10,117.180,
1999-01,284.780,
1999-04,558.336,
1999-07,1567.803,
1999-10,1106.613,
2000-01,1252.060,
2000-04,-444.806,
2000-07,-261.730,
2000-10,-360.342,
2001-01,-1695.091,
2001-04,729.972,
2001-07,-3712.536,
2001-10,1425.205,
2002-01,-96.784,
2002-04,-503.962,
2002-07,-580.563,
2002-10,-16.093,
2003-01,9.155,
2003-04,-87.033,
2003-07,20.465,
2003-10,-185.653,
2004-01,9.694,
2004-04,120.330,
2004-07,-37.574,
2004-10,-37.287,
2005-01,18.549,
2005-04,38.210,
2005-07,-65.297,
2005-10,-67.007,
2006-01,-113.343,
2006-04,147.424,
2006-07,-930.494,
2006-10,419.165,
2007-01,-737.460,
2007-04,-24.867,
2007-07,184.632,
2007-10,259.913,
2008-01,35.954,
2008-04,-241.336,
2008-07,225.053,
2008-10,140.110,
2009-01,-93.098,
2009-04,63.315,
2009-07,1092.640,
2009-10,-14.826,
2010-01,-48.424,
2010-04,105.184,
2010-07,160.137,
2010-10,-129.293,
2011-01,-110.034,
2011-04,-15.221,
2011-07,126.677,
2011-10,112.783,
2012-01,-189.909,
2012-04,84.660,
2012-07,66.235,
2012-10,-157.489,
2013-01,-138.690,
2013-04,162.501,
2013-07,-16.136,
2013-10,-105.490,
2014-01,-15.046,Provisional value
2014-04,31.977,Provisional value
2014-07,26.024,Provisional value
2014-10,-113.408,Provisional value
