"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.EUR.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:09,
2010-03,2.296,
2010-04,2.331,
2010-05,2.399,
2010-06,2.422,
2010-07,2.431,
2010-08,2.492,
2010-09,2.546,
2010-10,2.631,
2010-11,2.644,
2010-12,2.685,
2011-01,3.632,
2011-02,3.646,
2011-03,3.664,
2011-04,3.809,
2011-05,3.744,
2011-06,3.747,
2011-07,3.908,
2011-08,3.942,
2011-09,3.871,
2011-10,3.839,
2011-11,3.692,
2011-12,3.663,
2012-01,3.684,
2012-02,3.553,
2012-03,3.493,
2012-04,3.548,
2012-05,3.674,
2012-06,3.855,
2012-07,4.175,
2012-08,4.777,
2012-09,4.943,
2012-10,4.756,
2012-11,4.743,
2012-12,4.798,
2013-01,4.851,
2013-02,4.826,
2013-03,4.877,
2013-04,4.959,
2013-05,5.240,
2013-06,5.171,
2013-07,4.443,
2013-08,3.568,
2013-09,4.315,
2013-10,4.564,
2013-11,4.541,
2013-12,4.712,
2014-01,4.417,
2014-02,4.287,
2014-03,4.359,
2014-04,4.375,
2014-05,4.778,
2014-06,4.676,
2014-07,4.521,
2014-08,4.521,
2014-09,4.167,
2014-10,4.526,
2014-11,4.472,
2014-12,4.412,
"","General: From January 1999, including national currencies of the euro-area member states.",
