"",BBK01.OEAH76Q,BBK01.OEAH76Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:24,
2002-01,0.004,
2002-04,0.004,
2002-07,0.004,
2002-10,0.017,
2003-01,0.017,
2003-04,0.017,
2003-07,0.021,
2003-10,0.019,
2004-01,0.019,
2004-04,0.019,
2004-07,0.016,
2004-10,0.004,
2005-01,0.007,
2005-04,0.007,
2005-07,0.006,
2005-10,0.006,
2006-01,0.004,
2006-04,0.011,
2006-07,0.012,
2006-10,0.010,
2007-01,0.019,
2007-04,0.147,
2007-07,0.192,
2007-10,0.196,
2008-01,0.197,
2008-04,0.201,
2008-07,0.040,
2008-10,0.036,
2009-01,0.036,
2009-04,0.041,
2009-07,0.047,
2009-10,0.053,
2010-01,0.049,
2010-04,0.041,
2010-07,0.032,
2010-10,0.037,
2011-01,0.059,
2011-04,0.064,
2011-07,0.055,
2011-10,0.178,
2012-01,0.182,
2012-04,0.608,
2012-07,0.631,
2012-10,0.515,
2013-01,0.627,
2013-04,0.789,
2013-07,0.364,
2013-10,0.428,
2014-01,0.537,
2014-04,0.571,
2014-07,0.464,
