"",BBK01.PC3830,BBK01.PC3830_FLAGS
"",Housing loans to domestic employees and other individuals / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:31,
1985-10,0.283,
1986-01,0.298,
1986-04,0.302,
1986-07,0.311,
1986-10,0.326,
1987-01,0.336,
1987-04,0.350,
1987-07,0.365,
1987-10,0.391,
1988-01,0.408,
1988-04,0.429,
1988-07,0.459,
1988-10,0.472,
1989-01,0.499,
1989-04,0.538,
1989-07,0.602,
1989-10,0.671,
1990-01,0.740,
1990-04,0.768,
1990-07,0.802,
1990-10,0.835,
1991-01,0.824,
1991-04,0.849,
1991-07,0.874,
1991-10,0.900,
1992-01,0.913,
1992-04,0.932,
1992-07,0.947,
1992-10,2.549,
1993-01,2.605,
1993-04,2.701,
1993-07,2.857,
1993-10,3.266,
1994-01,3.412,
1994-04,3.648,
1994-07,4.373,
1994-10,4.774,
1995-01,4.923,
1995-04,5.083,
1995-07,5.260,
1995-10,5.471,
1996-01,5.591,
1996-04,5.736,
1996-07,5.927,
1996-10,6.158,
1997-01,6.270,
1997-04,6.401,
1997-07,6.533,
1997-10,6.682,
1998-01,6.770,
1998-04,6.906,
1998-07,6.895,
1998-10,7.131,
1999-01,6.856,
1999-04,7.023,
1999-07,7.212,
1999-10,7.455,
2000-01,7.589,
2000-04,7.666,
2000-07,7.732,
2000-10,7.790,
2001-01,7.836,
2001-04,7.799,
2001-07,7.742,
2001-10,7.678,
2002-01,7.602,
2002-04,9.317,
2002-07,11.485,
2002-10,11.835,
2003-01,11.881,
2003-04,12.064,
2003-07,12.183,
2003-10,12.494,
2004-01,12.915,
2004-04,13.413,
2004-07,14.194,
2004-10,15.396,
2005-01,16.264,
2005-04,17.785,
2005-07,19.903,
2005-10,66.118,
2006-01,66.910,
2006-04,67.364,
2006-07,68.694,
2006-10,69.496,
2007-01,69.774,
2007-04,69.944,
2007-07,70.322,
2007-10,73.390,
2008-01,72.766,
2008-04,72.964,
2008-07,72.996,
2008-10,72.934,
2009-01,71.126,
2009-04,71.908,
2009-07,72.542,
2009-10,72.391,
2010-01,72.864,
2010-04,73.216,
2010-07,73.563,
2010-10,73.959,
2011-01,74.181,
2011-04,74.505,
2011-07,75.017,
2011-10,75.315,
2012-01,75.339,
2012-04,75.545,
2012-07,75.929,
2012-10,76.221,
2013-01,75.858,
2013-04,75.602,
2013-07,75.776,
2013-10,75.980,
2014-01,76.016,
2014-04,76.622,
2014-07,77.449,
2014-10,76.647,
