"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:14,
2009-09,4554,
2009-10,4566,
2009-11,4998,
2009-12,5163,
2010-01,5080,
2010-02,5282,
2010-03,5369,
2010-04,5557,
2010-05,5756,
2010-06,5817,
2010-07,5567,
2010-08,5717,
2010-09,5884,
2010-10,5996,
2010-11,6576,
2010-12,6718,
2011-01,6390,
2011-02,6468,
2011-03,6127,
2011-04,6018,
2011-05,5959,
2011-06,5691,
2011-07,5916,
2011-08,5821,
2011-09,5640,
2011-10,5979,
2011-11,5988,
2011-12,6131,
2012-01,6413,
2012-02,6328,
2012-03,6111,
2012-04,6247,
2012-05,6307,
2012-06,6181,
2012-07,6581,
2012-08,6648,
2012-09,6775,
2012-10,6767,
2012-11,6412,
2012-12,6403,
2013-01,6312,
2013-02,6493,
2013-03,6696,
2013-04,6627,
2013-05,6673,
2013-06,6293,
2013-07,7088,
2013-08,7231,
2013-09,7368,
2013-10,7701,
2013-11,7674,
2013-12,7657,
2014-01,7971,
2014-02,8115,
2014-03,8587,
2014-04,8923,
2014-05,9421,
2014-06,9790,
2014-07,10165,
2014-08,10428,
2014-09,10798,
2014-10,11034,
2014-11,11347,
