"",BBK01.OEXM02J,BBK01.OEXM02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:35,
2002-01,0.038,
2002-04,0.019,
2002-07,0.024,
2002-10,0.026,
2003-01,0.018,
2003-04,0.017,
2003-07,0.012,
2003-10,0.017,
2004-01,0.015,
2004-04,0.024,
2004-07,0.021,
2004-10,0.032,
2005-01,0.029,
2005-04,0.036,
2005-07,0.033,
2005-10,0.043,
2006-01,0.084,
2006-04,0.092,
2006-07,0.085,
2006-10,0.070,
2007-01,0.068,
2007-04,0.074,
2007-07,0.078,
2007-10,0.077,
2008-01,0.082,
2008-04,0.083,
2008-07,0.091,
2008-10,0.097,
2009-01,0.091,
2009-04,0.103,
2009-07,0.083,
2009-10,0.074,
2010-01,0.078,
2010-04,0.080,
2010-07,0.082,
2010-10,0.084,
2011-01,0.094,
2011-04,0.093,
2011-07,0.061,
2011-10,0.054,
2012-01,0.098,
2012-04,0.103,
2012-07,0.104,
2012-10,0.086,
2013-01,0.015,
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,0.002,
