"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:23,
1991-01,-551.507,
1991-04,168.641,
1991-07,-401.394,
1991-10,711.453,
1992-01,-569.508,
1992-04,-421.213,
1992-07,-673.645,
1992-10,-748.414,
1993-01,231.744,
1993-04,-466.780,
1993-07,-164.559,
1993-10,493.547,
1994-01,362.455,
1994-04,174.284,
1994-07,310.821,
1994-10,783.510,
1995-01,38.585,
1995-04,380.744,
1995-07,1058.334,
1995-10,583.118,
1996-01,875.955,
1996-04,-720.559,
1996-07,-418.205,
1996-10,2826.668,
1997-01,3463.193,
1997-04,-722.249,
1997-07,-690.791,
1997-10,-592.276,
1998-01,7251.073,
1998-04,-819.581,
1998-07,-2682.387,
1998-10,-1702.097,
1999-01,7622.818,
1999-04,7919.730,
1999-07,-10595.371,
1999-10,3832.274,
2000-01,12460.372,
2000-04,3772.785,
2000-07,-13486.271,
2000-10,3372.220,
2001-01,11024.929,
2001-04,8351.078,
2001-07,-5045.900,
2001-10,-2612.869,
2002-01,-10829.243,
2002-04,-114.788,
2002-07,-1542.302,
2002-10,1823.755,
2003-01,1911.789,
2003-04,-506.438,
2003-07,6588.269,
2003-10,-3647.394,
2004-01,-33.919,
2004-04,-2287.165,
2004-07,-1676.371,
2004-10,4324.808,
2005-01,-1009.933,
2005-04,-880.309,
2005-07,-2193.381,
2005-10,3312.404,
2006-01,732.208,
2006-04,1812.326,
2006-07,-1323.110,
2006-10,-769.456,
2007-01,160.412,
2007-04,1677.328,
2007-07,1791.082,
2007-10,8734.757,
2008-01,-546.489,
2008-04,-894.654,
2008-07,-3595.379,
2008-10,1045.140,
2009-01,-3220.530,
2009-04,-1711.277,
2009-07,785.625,
2009-10,2118.894,
2010-01,873.466,
2010-04,-232.328,
2010-07,566.624,
2010-10,5048.243,
2011-01,0.834,
2011-04,283.489,
2011-07,4177.283,
2011-10,3950.859,
2012-01,1261.436,
2012-04,1705.006,
2012-07,2229.436,
2012-10,2767.332,
2013-01,-590.690,
2013-04,3033.414,
2013-07,-260.098,
2013-10,352.129,
2014-01,1384.185,Provisional value
2014-04,1731.081,Provisional value
2014-07,2148.691,Provisional value
2014-10,-1241.874,Provisional value
