"",BBFB1.Q.N.DE.AT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:23,
1991-01,310.869,
1991-04,346.011,
1991-07,338.608,
1991-10,352.310,
1992-01,322.218,
1992-04,378.481,
1992-07,413.516,
1992-10,433.068,
1993-01,422.162,
1993-04,370.808,
1993-07,419.870,
1993-10,459.799,
1994-01,421.767,
1994-04,366.367,
1994-07,398.504,
1994-10,417.515,
1995-01,435.062,
1995-04,477.515,
1995-07,452.012,
1995-10,442.437,
1996-01,360.468,
1996-04,331.055,
1996-07,399.448,
1996-10,393.777,
1997-01,428.404,
1997-04,464.194,
1997-07,443.229,
1997-10,513.809,
1998-01,439.934,
1998-04,486.729,
1998-07,479.348,
1998-10,549.782,
1999-01,538.003,
1999-04,598.930,
1999-07,584.564,
1999-10,626.445,
2000-01,612.429,
2000-04,692.434,
2000-07,664.999,
2000-10,692.275,
2001-01,744.591,
2001-04,845.521,
2001-07,827.568,
2001-10,795.221,
2002-01,726.194,
2002-04,876.637,
2002-07,781.235,
2002-10,1002.590,
2003-01,626.626,
2003-04,673.997,
2003-07,639.343,
2003-10,772.872,
2004-01,732.249,
2004-04,774.555,
2004-07,703.345,
2004-10,765.600,
2005-01,593.928,
2005-04,695.917,
2005-07,651.477,
2005-10,840.858,
2006-01,894.526,
2006-04,1054.898,
2006-07,990.235,
2006-10,1127.120,
2007-01,964.457,
2007-04,1188.038,
2007-07,1012.584,
2007-10,1054.039,
2008-01,535.197,
2008-04,1240.305,
2008-07,1182.345,
2008-10,933.606,
2009-01,722.542,
2009-04,791.858,
2009-07,631.197,
2009-10,737.069,
2010-01,788.872,
2010-04,1013.000,
2010-07,876.028,
2010-10,1005.053,
2011-01,818.285,
2011-04,1049.701,
2011-07,844.028,
2011-10,919.507,
2012-01,851.637,
2012-04,1084.881,
2012-07,835.227,
2012-10,1115.112,
2013-01,690.784,
2013-04,915.575,
2013-07,668.921,
2013-10,731.436,
2014-01,664.778,Provisional value
2014-04,753.144,Provisional value
2014-07,654.319,Provisional value
