"",BBK01.OELB14T,BBK01.OELB14T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:34,
2002-01,0.123,
2002-04,0.124,
2002-07,0.126,
2002-10,0.112,
2003-01,0.117,
2003-04,0.117,
2003-07,0.114,
2003-10,0.107,
2004-01,0.107,
2004-04,0.104,
2004-07,0.099,
2004-10,0.091,
2005-01,0.097,
2005-04,0.098,
2005-07,0.094,
2005-10,0.087,
2006-01,0.091,
2006-04,0.092,
2006-07,0.087,
2006-10,0.079,
2007-01,0.082,
2007-04,0.081,
2007-07,0.078,
2007-10,0.073,
2008-01,0.080,
2008-04,0.082,
2008-07,0.080,
2008-10,0.074,
2009-01,0.078,
2009-04,0.080,
2009-07,0.077,
2009-10,0.066,
2010-01,0.075,
2010-04,0.081,
2010-07,0.077,
2010-10,0.071,
2011-01,0.075,
2011-04,0.078,
2011-07,0.074,
2011-10,0.070,
2012-01,0.077,
2012-04,0.088,
2012-07,0.079,
2012-10,0.075,
2013-01,0.081,
2013-04,0.082,
2013-07,0.076,
2013-10,0.067,
2014-01,0.074,
2014-04,0.078,
2014-07,0.073,
