"",BBK01.TXI377,BBK01.TXI377_FLAGS
"",DEPOSITS OF GENERAL GOVERNMENT / OTHER GENERAL GOVERNMENT / TOTAL / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:33,
1980-01,54607,
1980-02,55978,
1980-03,56324,
1980-04,54774,
1980-05,57123,
1980-06,57013,
1980-07,55264,
1980-08,57384,
1980-09,57965,
1980-10,56240,
1980-11,57343,
1980-12,59523,
1981-01,58225,
1981-02,59538,
1981-03,58810,
1981-04,57971,
1981-05,60294,
1981-06,60082,
1981-07,58799,
1981-08,60870,
1981-09,61236,
1981-10,60272,
1981-11,61059,
1981-12,62448,
1982-01,61664,
1982-02,61644,
1982-03,60896,
1982-04,60224,
1982-05,62175,
1982-06,62440,
1982-07,58829,
1982-08,60966,
1982-09,61558,
1982-10,60803,
1982-11,60405,
1982-12,62916,
1983-01,61808,
1983-02,62807,
1983-03,61704,
1983-04,61156,
1983-05,63977,
1983-06,64061,
1983-07,62662,
1983-08,64166,
1983-09,64606,
1983-10,64659,
1983-11,63979,
1983-12,65620,
1984-01,64227,
1984-02,65391,
1984-03,64467,
1984-04,64062,
1984-05,66851,
1984-06,67706,
1984-07,65741,
1984-08,66798,
1984-09,68731,
1984-10,65991,
1984-11,64866,
1984-12,68030,
1985-01,66915,
1985-02,69000,
1985-03,68473,
1985-04,68035,
1985-05,70770,
1985-06,71883,
1985-07,69665,
1985-08,71717,
1985-09,71443,
1985-10,68956,
1985-11,69124,
1985-12,73872,
1986-01,72448,
1986-02,73754,
1986-03,73878,
1986-04,72424,
1986-05,75209,
1986-06,75579,
1986-07,74151,
1986-08,76863,
1986-09,76976,
1986-10,74889,
1986-11,75317,
1986-12,78945,
1987-01,77611,
1987-02,78068,
1987-03,76805,
1987-04,75662,
1987-05,78564,
1987-06,78560,
1987-07,76430,
1987-08,79052,
1987-09,78661,
1987-10,76859,
1987-11,78489,
1987-12,80852,
1988-01,78628,
1988-02,79990,
1988-03,77677,
1988-04,76899,
1988-05,79418,
1988-06,79486,
1988-07,77472,
1988-08,79575,
1988-09,79767,
1988-10,78751,
1988-11,79863,
1988-12,83415,
1989-01,79399,
1989-02,80865,
1989-03,79353,
1989-04,78895,
1989-05,82369,
1989-06,81794,
1989-07,81978,
1989-08,83707,
1989-09,83995,
1989-10,82105,
1989-11,84325,
1989-12,89022,
1990-01,85139,
1990-02,87259,
1990-03,85311,
1990-04,84854,
1990-05,87361,
1990-06,88569,
1990-07,87896,
1990-08,91234,
1990-09,92714,
1990-10,91283,
1990-11,94239,
1990-12,99777,
1991-01,95069,
1991-02,100369,
1991-03,99189,
1991-04,97684,
1991-05,99619,
1991-06,100049,
1991-07,96591,
1991-08,98484,
1991-09,98178,
1991-10,94734,
1991-11,96636,
1991-12,101047,
1992-01,98170,
1992-02,98500,
1992-03,96715,
1992-04,94440,
1992-05,96134,
1992-06,95443,
1992-07,94114,
