"",BBFB1.Q.N.DE.D09.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:02,
1991-01,57.439,
1991-04,75.692,
1991-07,82.142,
1991-10,114.761,
1992-01,70.841,
1992-04,77.750,
1992-07,82.150,
1992-10,86.835,
1993-01,63.131,
1993-04,80.317,
1993-07,81.030,
1993-10,65.891,
1994-01,80.917,
1994-04,72.710,
1994-07,90.172,
1994-10,62.358,
1995-01,24.552,
1995-04,28.081,
1995-07,26.831,
1995-10,65.567,
1996-01,11.713,
1996-04,15.015,
1996-07,20.316,
1996-10,9.760,
1997-01,2.605,
1997-04,3.262,
1997-07,2.255,
1997-10,1.846,
1998-01,2.543,
1998-04,1.911,
1998-07,3.860,
1998-10,1.476,
1999-01,2.139,
1999-04,2.175,
1999-07,3.053,
1999-10,2.971,
2000-01,3.624,
2000-04,0.210,
2000-07,3.165,
2000-10,0.527,
2001-01,0.226,
2001-04,0.260,
2001-07,3.295,
2001-10,2.222,
2002-01,0.446,
2002-04,0.367,
2002-07,0.571,
2002-10,1.453,
2003-01,0.335,
2003-04,0.471,
2003-07,0.768,
2003-10,0.787,
2004-01,0.092,
2004-04,0.665,
2004-07,0.655,
2004-10,0.624,
2005-01,0.903,
2005-04,7.733,
2005-07,0.256,
2005-10,0.248,
2006-01,0.495,
2006-04,0.062,
2006-07,0.066,
2006-10,0.242,
2007-01,0.130,
2007-04,0.360,
2007-07,0.358,
2007-10,1.469,
2008-01,0.663,
2008-04,0.263,
2008-07,1.347,
2008-10,1.333,
2009-01,2.661,
2009-04,1.817,
2009-07,0.482,
2009-10,0.609,
2010-01,0.043,
2010-04,0.080,
2010-07,0.101,
2010-10,0.423,
2011-01,0.533,
2011-04,0.333,
2011-07,0.155,
2011-10,0.087,
2012-01,0.101,
2012-04,0.000,
2012-07,0.066,
2012-10,0.106,
2013-01,9.002,
2013-04,0.000,
2013-07,0.000,
2013-10,0.000,
2014-01,87.932,
2014-04,83.931,
2014-07,83.931,
