"",BBFB1.M.N.DE.W1.S1.S1.T.D.NP._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.NP._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Non-produced non-financial asstes / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:18,
1991-01,16.378,
1991-02,7.168,
1991-03,8.453,
1991-04,6.240,
1991-05,15.016,
1991-06,19.456,
1991-07,10.912,
1991-08,26.224,
1991-09,13.952,
1991-10,10.740,
1991-11,22.878,
1991-12,49.458,
1992-01,7.019,
1992-02,25.736,
1992-03,11.067,
1992-04,8.989,
1992-05,7.379,
1992-06,22.117,
1992-07,11.563,
1992-08,9.435,
1992-09,14.200,
1992-10,29.502,
1992-11,67.246,
1992-12,63.993,
1993-01,19.466,
1993-02,14.177,
1993-03,16.121,
1993-04,12.403,
1993-05,8.131,
1993-06,108.438,
1993-07,10.558,
1993-08,27.985,
1993-09,9.469,
1993-10,19.054,
1993-11,10.679,
1993-12,74.171,
1994-01,28.370,
1994-02,42.048,
1994-03,21.872,
1994-04,17.685,
1994-05,11.217,
1994-06,14.896,
1994-07,14.419,
1994-08,10.820,
1994-09,19.102,
1994-10,27.602,
1994-11,22.550,
1994-12,51.145,
1995-01,59.629,
1995-02,20.641,
1995-03,33.398,
1995-04,53.174,
1995-05,20.883,
1995-06,49.256,
1995-07,27.600,
1995-08,56.674,
1995-09,26.925,
1995-10,25.922,
1995-11,19.426,
1995-12,109.443,
1996-01,233.178,
1996-02,46.689,
1996-03,30.970,
1996-04,46.572,
1996-05,35.513,
1996-06,52.232,
1996-07,49.234,
1996-08,206.902,
1996-09,48.714,
1996-10,33.765,
1996-11,73.539,
1996-12,58.030,
1997-01,53.251,
1997-02,45.955,
1997-03,60.608,
1997-04,56.601,
1997-05,63.270,
1997-06,55.224,
1997-07,54.140,
1997-08,50.725,
1997-09,57.022,
1997-10,67.901,
1997-11,46.523,
1997-12,72.923,
1998-01,54.944,
1998-02,45.520,
1998-03,66.230,
1998-04,56.878,
1998-05,55.751,
1998-06,44.453,
1998-07,48.219,
1998-08,49.924,
1998-09,43.631,
1998-10,48.458,
1998-11,29.833,
1998-12,122.450,
1999-01,51.464,
1999-02,52.561,
1999-03,53.777,
1999-04,40.344,
1999-05,55.277,
1999-06,46.672,
1999-07,72.977,
1999-08,71.591,
1999-09,76.056,
1999-10,53.279,
1999-11,48.792,
1999-12,76.482,
2000-01,54.208,
2000-02,68.493,
2000-03,78.250,
2000-04,64.353,
2000-05,87.969,
2000-06,107.697,
2000-07,129.985,
2000-08,77.904,
2000-09,110.031,
2000-10,112.611,
2000-11,325.646,
2000-12,171.797,
2001-01,66.520,
2001-02,101.970,
2001-03,100.591,
2001-04,234.321,
2001-05,147.334,
2001-06,112.116,
2001-07,118.152,
2001-08,67.769,
2001-09,90.076,
2001-10,141.691,
2001-11,78.533,
2001-12,76.665,
2002-01,102.451,
2002-02,63.344,
2002-03,51.192,
2002-04,128.145,
2002-05,74.308,
2002-06,403.476,
2002-07,461.365,
2002-08,54.911,
2002-09,73.520,
2002-10,137.242,
2002-11,74.062,
2002-12,231.984,
2003-01,92.810,
2003-02,67.090,
2003-03,162.107,
2003-04,74.259,
2003-05,60.494,
2003-06,63.050,
2003-07,89.972,
2003-08,62.245,
2003-09,87.987,
2003-10,141.253,
2003-11,50.513,
2003-12,128.615,
2004-01,73.601,
2004-02,57.767,
2004-03,61.412,
2004-04,71.875,
2004-05,54.203,
2004-06,259.578,
2004-07,74.678,
2004-08,65.524,
2004-09,40.998,
2004-10,63.928,
2004-11,64.078,
2004-12,190.856,
2005-01,80.191,
2005-02,90.225,
2005-03,66.310,
2005-04,89.607,
2005-05,81.710,
2005-06,62.463,
2005-07,84.216,
2005-08,65.819,
2005-09,84.898,
2005-10,102.287,
2005-11,109.722,
2005-12,118.672,
2006-01,404.813,
2006-02,102.787,
2006-03,86.197,
2006-04,98.226,
2006-05,171.553,
2006-06,117.529,
2006-07,183.721,
2006-08,87.193,
2006-09,101.128,
2006-10,96.499,
2006-11,105.528,
2006-12,243.034,
2007-01,953.265,
2007-02,95.144,
2007-03,103.564,
2007-04,113.362,
2007-05,114.640,
2007-06,135.314,
2007-07,135.777,
2007-08,86.715,
2007-09,120.625,
2007-10,413.816,
2007-11,92.633,
2007-12,336.625,
2008-01,485.102,
2008-02,122.010,
2008-03,332.183,
2008-04,136.634,
2008-05,151.303,
2008-06,85.435,
2008-07,244.983,
2008-08,126.096,
2008-09,188.814,
2008-10,91.532,
2008-11,130.095,
2008-12,830.433,
2009-01,3194.044,
2009-02,307.754,
2009-03,315.943,
2009-04,294.806,
2009-05,420.580,
2009-06,393.392,
2009-07,346.982,
2009-08,316.274,
2009-09,299.644,
2009-10,421.869,
2009-11,287.203,
2009-12,1126.969,
2010-01,2062.082,
2010-02,334.532,
2010-03,452.607,
2010-04,308.291,
2010-05,312.858,
2010-06,337.185,
2010-07,468.635,
2010-08,275.394,
2010-09,344.643,
2010-10,356.283,
2010-11,357.220,
2010-12,835.202,
2011-01,1256.625,
2011-02,411.413,
2011-03,477.070,
2011-04,536.390,
2011-05,512.488,
2011-06,419.950,
2011-07,498.991,
2011-08,384.008,
2011-09,543.594,
2011-10,389.464,
2011-11,410.726,
2011-12,1086.222,
2012-01,1741.145,
2012-02,506.548,
2012-03,506.377,
2012-04,590.991,
2012-05,492.189,
2012-06,445.362,
2012-07,412.766,
2012-08,438.759,
2012-09,397.110,
2012-10,527.704,
2012-11,436.243,
2012-12,1401.535,
2013-01,300.801,
2013-02,251.262,
2013-03,236.059,
2013-04,272.595,
2013-05,280.989,
2013-06,261.396,
2013-07,353.939,
2013-08,290.130,
2013-09,621.343,
2013-10,623.494,
2013-11,587.458,
2013-12,1790.154,
2014-01,904.363,
2014-02,713.663,Provisional value
2014-03,626.506,Provisional value
2014-04,505.691,Provisional value
2014-05,488.247,Provisional value
2014-06,440.777,Provisional value
2014-07,596.040,Provisional value
2014-08,409.588,Provisional value
2014-09,349.682,
2014-10,779.968,
2014-11,576.853,
2014-12,2764.453,Provisional value
