"",BBK01.OEAH86J,BBK01.OEAH86J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:24,
2002-01,0.166,
2002-04,0.141,
2002-07,0.149,
2002-10,0.234,
2003-01,0.162,
2003-04,0.125,
2003-07,0.136,
2003-10,0.213,
2004-01,0.210,
2004-04,0.205,
2004-07,0.178,
2004-10,0.212,
2005-01,0.220,
2005-04,0.241,
2005-07,0.230,
2005-10,0.150,
2006-01,0.161,
2006-04,0.171,
2006-07,0.167,
2006-10,0.203,
2007-01,0.187,
2007-04,0.211,
2007-07,0.207,
2007-10,0.219,
2008-01,0.213,
2008-04,0.204,
2008-07,0.211,
2008-10,0.249,
2009-01,0.254,
2009-04,0.264,
2009-07,0.251,
2009-10,0.312,
2010-01,0.320,
2010-04,0.356,
2010-07,0.313,
2010-10,0.272,
2011-01,0.316,
2011-04,0.353,
2011-07,0.322,
2011-10,0.318,
2012-01,0.326,
2012-04,0.371,
2012-07,0.373,
2012-10,0.314,
2013-01,0.332,
2013-04,0.333,
2013-07,0.328,
2013-10,0.338,
2014-01,0.311,
2014-04,0.314,
2014-07,0.314,
