"",BBK01.CEL5N0,BBK01.CEL5N0_FLAGS
"",Equity and investment fund shares                                                     debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:12,
1999-01,30.3,
1999-04,35.3,
1999-07,33.2,
1999-10,80.4,
2000-01,80.0,
2000-04,48.5,
2000-07,62.8,
2000-10,10.0,
2001-01,10.3,
2001-04,54.6,
2001-07,13.7,
2001-10,13.7,
2002-01,14.0,
2002-04,21.0,
2002-07,12.4,
2002-10,6.6,
2003-01,-3.0,
2003-04,6.7,
2003-07,4.1,
2003-10,19.5,
2004-01,-7.9,
2004-04,8.5,
2004-07,0.7,
2004-10,7.7,
2005-01,28.2,
2005-04,19.6,
2005-07,26.0,
2005-10,42.1,
2006-01,30.8,
2006-04,3.3,
2006-07,41.2,
2006-10,40.9,
2007-01,-4.0,
2007-04,28.0,
2007-07,9.8,
2007-10,23.6,
2008-01,4.1,
2008-04,-22.5,
2008-07,-1.2,
2008-10,-33.3,
2009-01,22.5,
2009-04,23.8,
2009-07,31.3,
2009-10,4.9,
2010-01,34.8,
2010-04,24.3,
2010-07,19.5,
2010-10,23.6,
2011-01,16.9,
2011-04,38.4,
2011-07,-7.9,
2011-10,12.4,
2012-01,26.8,
2012-04,3.8,
2012-07,30.7,
2012-10,39.3,
2013-01,41.5,
2013-04,6.2,
2013-07,24.8,
2013-10,4.0,
2014-01,29.2,
2014-04,38.8,
2014-07,34.7,
