"",BBFN1.M.DE.N.1.A.FI.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FI.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:53,
1994-07,0.371,
1994-08,0.406,
1994-09,0.442,
1994-10,0.464,
1994-11,0.473,
1994-12,0.490,
1995-01,0.481,
1995-02,0.499,
1995-03,0.531,
1995-04,0.544,
1995-05,0.549,
1995-06,0.545,
1995-07,0.531,
1995-08,0.528,
1995-09,0.558,
1995-10,0.572,
1995-11,0.568,
1995-12,0.493,
1996-01,0.454,
1996-02,0.490,
1996-03,0.520,
1996-04,0.503,
1996-05,0.506,
1996-06,0.486,
1996-07,0.451,
1996-08,0.434,
1996-09,0.474,
1996-10,0.497,
1996-11,0.520,
1996-12,0.496,
1997-01,0.479,
1997-02,0.523,
1997-03,0.576,
1997-04,0.577,
1997-05,0.561,
1997-06,0.570,
1997-07,0.544,
1997-08,0.526,
1997-09,0.559,
1997-10,0.540,
1997-11,0.587,
1997-12,0.531,
1998-01,0.515,
1998-02,0.557,
1998-03,0.595,
1998-04,0.597,
1998-05,0.618,
1998-06,0.675,
1998-07,0.628,
1998-08,0.639,
1998-09,0.738,
1998-10,0.753,
1998-11,0.786,
1998-12,0.729,
1999-01,0.595,
1999-02,0.687,
1999-03,0.815,
1999-04,0.765,
1999-05,0.744,
1999-06,0.796,
1999-07,0.789,
1999-08,0.844,
1999-09,0.880,
1999-10,0.909,
1999-11,0.875,
1999-12,0.867,
2000-01,0.894,
2000-02,0.881,
2000-03,1.000,
2000-04,0.859,
2000-05,1.063,
2000-06,1.012,
2000-07,0.972,
2000-08,0.949,
2000-09,1.183,
2000-10,1.037,
2000-11,1.104,
2000-12,1.042,
2001-01,1.080,
2001-02,0.971,
2001-03,1.080,
2001-04,1.040,
2001-05,1.020,
2001-06,0.936,
2001-07,0.863,
2001-08,0.884,
2001-09,0.869,
2001-10,1.055,
2001-11,1.073,
2001-12,0.864,
2002-01,0.835,
2002-02,0.859,
2002-03,0.881,
2002-04,0.831,
2002-05,0.891,
2002-06,0.924,
2002-07,0.763,
2002-08,0.790,
2002-09,0.828,
2002-10,0.856,
2002-11,0.810,
2002-12,0.749,
2003-01,0.585,
2003-02,0.631,
2003-03,0.713,
2003-04,0.672,
2003-05,0.665,
2003-06,0.658,
2003-07,0.613,
2003-08,0.634,
2003-09,0.700,
2003-10,0.682,
2003-11,0.720,
2003-12,0.688,
2004-01,0.598,
2004-02,0.669,
2004-03,0.686,
2004-04,0.674,
2004-05,0.696,
2004-06,0.765,
2004-07,0.668,
2004-08,0.697,
2004-09,0.771,
2004-10,0.803,
2004-11,0.894,
2004-12,0.832,
2005-01,0.807,
2005-02,0.870,
2005-03,0.789,
2005-04,0.843,
2005-05,0.860,
2005-06,0.857,
2005-07,0.839,
2005-08,0.889,
2005-09,0.898,
2005-10,1.056,
2005-11,1.090,
2005-12,0.913,
2006-01,0.932,
2006-02,1.024,
2006-03,0.994,
2006-04,0.899,
2006-05,0.967,
2006-06,0.948,
2006-07,0.953,
2006-08,0.876,
2006-09,1.059,
2006-10,1.116,
2006-11,0.990,
2006-12,1.002,
2007-01,1.005,
2007-02,1.071,
2007-03,1.088,
2007-04,1.122,
2007-05,0.992,
2007-06,1.135,
2007-07,1.106,
2007-08,1.028,
2007-09,1.084,
2007-10,1.177,
2007-11,1.171,
2007-12,1.118,
2008-01,1.007,
2008-02,1.069,
2008-03,1.096,
2008-04,1.212,
2008-05,1.254,
2008-06,1.330,
2008-07,1.075,
2008-08,1.162,
2008-09,1.236,
2008-10,1.272,
2008-11,1.732,
2008-12,1.469,
2009-01,1.230,
2009-02,1.176,
2009-03,1.137,
2009-04,1.148,
2009-05,1.143,
2009-06,1.164,
2009-07,0.964,
2009-08,0.974,
2009-09,1.037,
2009-10,1.115,
2009-11,1.028,
2009-12,0.969,
2010-01,0.731,
2010-02,0.809,
2010-03,0.843,
2010-04,0.872,
2010-05,0.879,
2010-06,0.929,
2010-07,0.904,
2010-08,0.871,
2010-09,0.975,
2010-10,0.988,
2010-11,1.002,
2010-12,1.070,
2011-01,0.895,
2011-02,1.018,
2011-03,1.050,
2011-04,1.025,
2011-05,1.002,
2011-06,1.028,
2011-07,0.892,
2011-08,0.898,
2011-09,1.101,
2011-10,0.966,
2011-11,0.971,
2011-12,1.075,
2012-01,0.908,
2012-02,0.932,
2012-03,1.647,
2012-04,1.014,
2012-05,1.393,
2012-06,1.525,
2012-07,1.411,
2012-08,1.354,
2012-09,1.441,
2012-10,1.273,
2012-11,1.358,
2012-12,0.921,
2013-01,0.905,
2013-02,0.873,
2013-03,0.935,
2013-04,0.858,
2013-05,0.972,
2013-06,0.985,
2013-07,0.890,
2013-08,1.047,
2013-09,1.005,
2013-10,1.015,
2013-11,1.010,
2013-12,1.009,
2014-01,1.087,
2014-02,1.009,
2014-03,1.102,
2014-04,0.992,
2014-05,1.039,
2014-06,1.139,
2014-07,1.019,
2014-08,1.018,
2014-09,1.044,
2014-10,0.985,
2014-11,1.047,
2014-12,0.991,
