"",BBSF2.M.1.P.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:38,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,171,
1993-05,171,
1993-06,174,
1993-07,176,
1993-08,179,
1993-09,175,
1993-10,178,
1993-11,182,
1993-12,182,
1994-01,185,
1994-02,239,
1994-03,233,
1994-04,236,
1994-05,233,
1994-06,322,
1994-07,306,
1994-08,305,
1994-09,302,
1994-10,303,
1994-11,303,
1994-12,295,
1995-01,293,
1995-02,329,
1995-03,296,
1995-04,295,
1995-05,295,
1995-06,386,
1995-07,387,
1995-08,399,
1995-09,474,
1995-10,514,
1995-11,510,
1995-12,514,
1996-01,520,
1996-02,623,
1996-03,639,
1996-04,677,
1996-05,691,
1996-06,742,
1996-07,730,
1996-08,885,
1996-09,1082,
1996-10,1148,
1996-11,1372,
1996-12,1433,
1997-01,1536,
1997-02,1700,
1997-03,1757,
1997-04,1799,
1997-05,1832,
1997-06,2046,
1997-07,2118,
1997-08,2157,
1997-09,2182,
1997-10,2212,
1997-11,2311,
1997-12,2439,
1998-01,2530,
1998-02,2658,
1998-03,2800,
1998-04,2763,
1998-05,2699,
1998-06,2779,
1998-07,2727,
1998-08,2800,
1998-09,2781,
1998-10,2777,
1998-11,2827,
1998-12,2972,
1999-01,3100,
1999-02,3139,
1999-03,3326,
1999-04,3403,
1999-05,3624,
1999-06,3691,
1999-07,3803,
1999-08,3913,
1999-09,4013,
1999-10,4238,
1999-11,4384,
1999-12,4603,
2000-01,4767,
2000-02,4778,
2000-03,4842,
2000-04,5121,
2000-05,4930,
2000-06,4979,
2000-07,5072,
2000-08,5134,
2000-09,5312,
2000-10,5448,
2000-11,5305,
2000-12,5542,
2001-01,5699,
2001-02,5812,
2001-03,5882,
2001-04,5848,
2001-05,6118,
2001-06,6292,
2001-07,6379,
2001-08,6600,
2001-09,6821,
2001-10,6827,
2001-11,6850,
2001-12,6971,
2002-01,6993,
2002-02,7193,
2002-03,7229,
2002-04,7145,
2002-05,7008,
2002-06,7148,
2002-07,7599,
2002-08,7588,
2002-09,7783,
2002-10,7832,
2002-11,7537,
2002-12,8195,
2003-01,8144,
2003-02,8035,
2003-03,7817,
2003-04,8214,
2003-05,8316,
2003-06,8648,
2003-07,8842,
2003-08,9137,
2003-09,9315,
2003-10,9685,
2003-11,9948,
2003-12,11483,
2004-01,11942,
2004-02,12505,
2004-03,12479,
2004-04,12624,
2004-05,12737,
2004-06,12674,
2004-07,12680,
2004-08,13068,
2004-09,12987,
2004-10,12885,
2004-11,12871,
2004-12,13326,
2005-01,13561,
2005-02,13538,
2005-03,14046,
2005-04,14172,
2005-05,14269,
2005-06,14277,
2005-07,14441,
2005-08,14848,
2005-09,14859,
2005-10,14828,
2005-11,14601,
2005-12,15501,
2006-01,16240,
2006-02,17117,
2006-03,17297,
2006-04,17058,
2006-05,17243,
2006-06,16626,
2006-07,16630,
2006-08,16615,
2006-09,16378,
2006-10,15917,
2006-11,16075,
2006-12,16332,
2007-01,16055,
2007-02,15399,
2007-03,15160,
2007-04,15094,
2007-05,15353,
2007-06,15362,
2007-07,15362,
2007-08,14962,
2007-09,14607,
2007-10,14313,
2007-11,14538,
2007-12,14873,
2008-01,14750,
2008-02,14903,
2008-03,14861,
2008-04,14590,
2008-05,14778,
2008-06,14905,
2008-07,15196,
2008-08,15401,
2008-09,16030,
2008-10,17213,
2008-11,17184,
2008-12,16697,
2009-01,16699,
2009-02,16776,
2009-03,16549,
2009-04,16754,
2009-05,17184,
2009-06,18115,
2009-07,18229,
2009-08,18436,
2009-09,18422,
2009-10,18256,
2009-11,18146,
2009-12,18619,
2010-01,18593,
2010-02,18629,
2010-03,18885,
2010-04,19007,
2010-05,19116,
2010-06,19408,
2010-07,19307,
2010-08,19481,
2010-09,19201,
2010-10,18902,
2010-11,19484,
2010-12,18920,
2011-01,18811,
2011-02,18552,
2011-03,18202,
2011-04,17868,
2011-05,18058,
2011-06,17627,
2011-07,17945,
2011-08,17863,
2011-09,17797,
2011-10,17614,
2011-11,17516,
2011-12,17328,
2012-01,17218,
2012-02,17049,
2012-03,16905,
2012-04,16708,
2012-05,17037,
2012-06,16982,
2012-07,16392,
2012-08,16007,
2012-09,15990,
2012-10,15374,
2012-11,15190,
2012-12,15186,
2013-01,15039,
2013-02,14716,
2013-03,14373,
2013-04,14022,
2013-05,14035,
2013-06,13805,
2013-07,13152,
2013-08,12806,
2013-09,12683,
2013-10,12394,
2013-11,12580,
2013-12,12446,
2014-01,12352,
2014-02,11951,
2014-03,11958,
2014-04,11735,
2014-05,11763,
2014-06,11418,
2014-07,11277,
2014-08,11044,
2014-09,10889,
2014-10,10850,
2014-11,10808,
