"",BBK01.PQU360,BBK01.PQU360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:19,
1999-01,0.899,
1999-04,0.865,
1999-07,0.867,
1999-10,0.834,
2000-01,0.750,
2000-04,0.741,
2000-07,0.740,
2000-10,0.732,
2001-01,0.717,
2001-04,0.730,
2001-07,0.716,
2001-10,0.725,
2002-01,0.747,
2002-04,0.762,
2002-07,0.782,
2002-10,0.807,
2003-01,0.819,
2003-04,0.851,
2003-07,0.840,
2003-10,0.844,
2004-01,0.841,
2004-04,0.839,
2004-07,0.834,
2004-10,0.833,
2005-01,0.829,
2005-04,0.811,
2005-07,0.798,
2005-10,0.802,
2006-01,0.781,
2006-04,0.819,
2006-07,0.821,
2006-10,0.822,
2007-01,0.833,
2007-04,0.800,
2007-07,0.793,
2007-10,0.778,
2008-01,0.756,
2008-04,0.758,
2008-07,0.753,
2008-10,0.729,
2009-01,0.721,
2009-04,0.740,
2009-07,0.772,
2009-10,0.810,
2010-01,0.828,
2010-04,0.848,
2010-07,0.871,
2010-10,0.885,
2011-01,0.880,
2011-04,0.888,
2011-07,0.877,
2011-10,0.876,
2012-01,0.880,
2012-04,0.886,
2012-07,0.876,
2012-10,0.878,
2013-01,0.851,
2013-04,0.866,
2013-07,0.860,
2013-10,0.844,
2014-01,0.840,
2014-04,0.841,
2014-07,0.847,
2014-10,0.841,
