"",BBK01.OEHB09L,BBK01.OEHB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:47,
2002-01,11.854,
2002-04,11.819,
2002-07,11.731,
2002-10,11.644,
2003-01,11.090,
2003-04,11.144,
2003-07,11.006,
2003-10,10.861,
2004-01,10.713,
2004-04,10.619,
2004-07,10.561,
2004-10,10.456,
2005-01,10.311,
2005-04,10.286,
2005-07,10.144,
2005-10,10.436,
2006-01,9.992,
2006-04,9.898,
2006-07,9.797,
2006-10,9.715,
2007-01,9.680,
2007-04,9.708,
2007-07,9.778,
2007-10,9.820,
2008-01,10.049,
2008-04,10.493,
2008-07,10.853,
2008-10,10.984,
2009-01,11.374,
2009-04,11.875,
2009-07,11.969,
2009-10,12.045,
2010-01,12.075,
2010-04,12.220,
2010-07,12.415,
2010-10,12.547,
2011-01,12.659,
2011-04,12.701,
2011-07,12.850,
2011-10,13.062,
2012-01,13.292,
2012-04,13.403,
2012-07,13.484,
2012-10,13.570,
2013-01,13.752,
2013-04,13.757,
2013-07,13.836,
2013-10,13.758,
2014-01,13.794,
2014-04,13.916,
2014-07,13.995,
