"",BBDE1.M.DE.Y.AEB1.N2C250000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.N2C250000.F.C.I10.A_FLAGS
"","Orders received from the domestic market / At constant prices / Germany / 25 Manufacture of fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:15,
1991-01,93.3,
1991-02,94.8,
1991-03,92.7,
1991-04,91.7,
1991-05,91.3,
1991-06,92.1,
1991-07,91.0,
1991-08,89.7,
1991-09,90.6,
1991-10,91.0,
1991-11,93.3,
1991-12,94.1,
1992-01,97.7,
1992-02,98.7,
1992-03,94.4,
1992-04,95.1,
1992-05,92.2,
1992-06,89.2,
1992-07,88.0,
1992-08,89.9,
1992-09,87.9,
1992-10,85.6,
1992-11,84.7,
1992-12,85.5,
1993-01,85.3,
1993-02,84.7,
1993-03,82.8,
1993-04,82.3,
1993-05,84.9,
1993-06,80.9,
1993-07,81.2,
1993-08,82.1,
1993-09,83.4,
1993-10,85.4,
1993-11,85.9,
1993-12,86.7,
1994-01,84.0,
1994-02,85.4,
1994-03,85.7,
1994-04,91.1,
1994-05,90.2,
1994-06,90.7,
1994-07,89.5,
1994-08,92.1,
1994-09,94.8,
1994-10,93.7,
1994-11,93.6,
1994-12,96.0,
1995-01,90.6,
1995-02,94.4,
1995-03,94.6,
1995-04,92.6,
1995-05,91.5,
1995-06,90.9,
1995-07,90.3,
1995-08,90.2,
1995-09,90.8,
1995-10,89.7,
1995-11,88.8,
1995-12,89.2,
1996-01,88.0,
1996-02,84.9,
1996-03,85.2,
1996-04,86.2,
1996-05,87.5,
1996-06,87.0,
1996-07,86.6,
1996-08,87.0,
1996-09,88.4,
1996-10,86.0,
1996-11,86.4,
1996-12,88.9,
1997-01,84.7,
1997-02,85.4,
1997-03,87.8,
1997-04,86.8,
1997-05,87.7,
1997-06,89.5,
1997-07,92.1,
1997-08,89.2,
1997-09,89.3,
1997-10,91.9,
1997-11,93.7,
1997-12,89.9,
1998-01,93.9,
1998-02,93.0,
1998-03,97.3,
1998-04,100.8,
1998-05,94.6,
1998-06,96.3,
1998-07,92.2,
1998-08,95.2,
1998-09,91.2,
1998-10,92.8,
1998-11,91.6,
1998-12,91.4,
1999-01,93.2,
1999-02,90.7,
1999-03,91.0,
1999-04,91.3,
1999-05,91.5,
1999-06,91.3,
1999-07,92.3,
1999-08,93.0,
1999-09,93.0,
1999-10,93.2,
1999-11,94.4,
1999-12,96.1,
2000-01,95.5,
2000-02,98.5,
2000-03,95.2,
2000-04,96.6,
2000-05,102.1,
2000-06,96.1,
2000-07,98.8,
2000-08,98.7,
2000-09,99.3,
2000-10,98.9,
2000-11,98.3,
2000-12,100.2,
2001-01,101.7,
2001-02,101.6,
2001-03,98.5,
2001-04,96.0,
2001-05,97.4,
2001-06,97.4,
2001-07,95.5,
2001-08,95.2,
2001-09,97.3,
2001-10,93.1,
2001-11,91.5,
2001-12,94.9,
2002-01,93.7,
2002-02,95.2,
2002-03,92.5,
2002-04,93.8,
2002-05,92.0,
2002-06,92.4,
2002-07,94.2,
2002-08,92.4,
2002-09,99.4,
2002-10,92.0,
2002-11,93.7,
2002-12,95.7,
