"",BBK01.OELI07V,BBK01.OELI07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:09,
2002-01,2.584,
2002-04,2.545,
2002-07,2.562,
2002-10,2.659,
2003-01,2.691,
2003-04,2.671,
2003-07,2.696,
2003-10,2.781,
2004-01,2.822,
2004-04,2.818,
2004-07,2.804,
2004-10,2.945,
2005-01,2.977,
2005-04,2.970,
2005-07,2.958,
2005-10,2.983,
2006-01,2.975,
2006-04,2.925,
2006-07,2.884,
2006-10,2.837,
2007-01,2.749,
2007-04,2.664,
2007-07,2.654,
2007-10,2.668,
2008-01,2.641,
2008-04,2.570,
2008-07,2.525,
2008-10,2.579,
2009-01,2.620,
2009-04,2.708,
2009-07,2.733,
2009-10,2.876,
2010-01,2.937,
2010-04,2.957,
2010-07,2.993,
2010-10,2.846,
2011-01,2.841,
2011-04,2.988,
2011-07,2.964,
2011-10,3.003,
2012-01,2.999,
2012-04,2.999,
2012-07,3.042,
2012-10,3.089,
2013-01,3.076,
2013-04,3.080,
2013-07,3.068,
2013-10,3.058,
2014-01,3.127,
2014-04,3.052,
2014-07,3.108,
