"",BBK01.OXA8V4,BBK01.OXA8V4_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic employees and other individuals during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:55,
2009-12,-,Nothing exists
2010-01,0.726,
2010-02,-,Nothing exists
2010-03,0.205,
2010-04,-,Nothing exists
2010-05,0.206,
2010-06,0.634,
2010-07,-0.015,
2010-08,0.273,
2010-09,0.100,
2010-10,0.790,
2010-11,2.619,
2010-12,-0.091,
2011-01,0.041,
2011-02,0.288,
2011-03,0.338,
2011-04,0.636,
2011-05,0.259,
2011-06,0.258,
2011-07,0.914,
2011-08,1.253,
2011-09,0.903,
2011-10,0.231,
2011-11,1.686,
2011-12,-0.002,
2012-01,0.197,
2012-02,0.383,
2012-03,0.298,
2012-04,-3.325,
2012-05,0.356,
2012-06,0.077,
2012-07,0.265,
2012-08,0.656,
2012-09,0.076,
2012-10,-0.016,
2012-11,1.297,
2012-12,0.222,
2013-01,0.139,
2013-02,0.246,
2013-03,2.664,
2013-04,0.052,
2013-05,0.430,
2013-06,1.994,
2013-07,1.219,
2013-08,0.291,
2013-09,0.023,
2013-10,0.159,
2013-11,1.061,
2013-12,0.118,
2014-01,0.115,
2014-02,-0.280,
2014-03,2.664,
2014-04,2.613,
2014-05,1.091,
2014-06,0.080,
2014-07,0.175,
2014-08,0.951,
2014-09,3.677,
2014-10,1.396,
2014-11,0.412,
2014-12,0.040,Provisional value
