"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:47,
1991-01,128.049,
1991-04,112.105,
1991-07,136.965,
1991-10,382.548,
1992-01,89.652,
1992-04,82.847,
1992-07,208.151,
1992-10,148.626,
1993-01,107.164,
1993-04,238.516,
1993-07,-33.082,
1993-10,231.223,
1994-01,206.885,
1994-04,43.925,
1994-07,194.965,
1994-10,96.047,
1995-01,338.173,
1995-04,712.812,
1995-07,232.445,
1995-10,343.187,
1996-01,565.775,
1996-04,535.824,
1996-07,801.256,
1996-10,313.695,
1997-01,453.935,
1997-04,815.545,
1997-07,28.327,
1997-10,426.335,
1998-01,1029.570,
1998-04,799.510,
1998-07,-64.759,
1998-10,1545.161,
1999-01,514.301,
1999-04,573.327,
1999-07,1977.304,
1999-10,-1243.701,
2000-01,619.036,
2000-04,1166.194,
2000-07,-4992.767,
2000-10,231.226,
2001-01,-1.833,
2001-04,-157.425,
2001-07,-330.325,
2001-10,793.262,
2002-01,216.045,
2002-04,85.919,
2002-07,-373.210,
2002-10,3646.376,
2003-01,492.264,
2003-04,316.030,
2003-07,-264.881,
2003-10,907.592,
2004-01,-19907.457,
2004-04,254.282,
2004-07,-1758.399,
2004-10,805.090,
2005-01,658.116,
2005-04,246.740,
2005-07,-349.028,
2005-10,10445.028,
2006-01,4373.530,
2006-04,819.059,
2006-07,-2225.530,
2006-10,805.522,
2007-01,3630.008,
2007-04,5416.255,
2007-07,-12044.918,
2007-10,1008.095,
2008-01,721.681,
2008-04,-429.332,
2008-07,-790.539,
2008-10,425.547,
2009-01,-79.862,
2009-04,1348.768,
2009-07,-1727.056,
2009-10,4656.019,
2010-01,594.317,
2010-04,720.534,
2010-07,99.690,
2010-10,1865.190,
2011-01,1554.331,
2011-04,-3.303,
2011-07,33.604,
2011-10,869.173,
2012-01,666.654,
2012-04,336.808,
2012-07,88.572,
2012-10,-925.549,
2013-01,498.835,
2013-04,247.122,
2013-07,-1140.123,
2013-10,1214.206,
2014-01,263.563,Provisional value
2014-04,950.875,Provisional value
2014-07,-306.224,Provisional value
2014-10,-264.267,Provisional value
