"",BBK01.OEAH15G,BBK01.OEAH15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:11,
2002-01,337.889,
2002-04,341.614,
2002-07,340.587,
2002-10,353.887,
2003-01,356.170,
2003-04,356.386,
2003-07,357.615,
2003-10,366.936,
2004-01,367.698,
2004-04,370.363,
2004-07,371.566,
2004-10,377.965,
2005-01,320.726,
2005-04,325.113,
2005-07,326.164,
2005-10,331.548,
2006-01,332.611,
2006-04,335.233,
2006-07,338.375,
2006-10,346.996,
2007-01,350.693,
2007-04,357.843,
2007-07,361.544,
2007-10,372.261,
2008-01,365.433,
2008-04,380.470,
2008-07,391.585,
2008-10,407.862,
2009-01,417.253,
2009-04,428.553,
2009-07,428.278,
2009-10,438.689,
2010-01,433.753,
2010-04,436.480,
2010-07,441.196,
2010-10,445.407,
2011-01,450.315,
2011-04,452.870,
2011-07,457.712,
2011-10,456.890,
2012-01,461.612,
2012-04,465.474,
2012-07,466.770,
2012-10,465.239,
2013-01,462.029,
2013-04,461.188,
2013-07,453.521,
2013-10,463.766,
2014-01,461.407,
2014-04,467.700,
2014-07,466.075,
