"",BBK01.OEHB17O,BBK01.OEHB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:24,
2002-01,15.920,
2002-04,16.072,
2002-07,16.276,
2002-10,16.409,
2003-01,16.419,
2003-04,16.575,
2003-07,16.811,
2003-10,16.907,
2004-01,16.826,
2004-04,16.947,
2004-07,17.074,
2004-10,17.120,
2005-01,17.324,
2005-04,17.438,
2005-07,17.577,
2005-10,17.758,
2006-01,17.788,
2006-04,17.826,
2006-07,17.931,
2006-10,17.966,
2007-01,17.950,
2007-04,17.965,
2007-07,17.986,
2007-10,17.929,
2008-01,17.799,
2008-04,17.793,
2008-07,17.845,
2008-10,17.680,
2009-01,17.562,
2009-04,17.480,
2009-07,17.531,
2009-10,17.522,
2010-01,17.487,
2010-04,17.574,
2010-07,17.757,
2010-10,17.821,
2011-01,17.756,
2011-04,17.864,
2011-07,17.988,
2011-10,18.088,
2012-01,18.152,
2012-04,18.267,
2012-07,18.532,
2012-10,18.667,
2013-01,18.660,
2013-04,18.877,
2013-07,19.095,
2013-10,19.134,
2014-01,19.148,
2014-04,19.305,
2014-07,19.470,
