"",BBFB1.Q.N.DE.B2.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:42,
1991-01,225.790,
1991-04,-1333.989,
1991-07,-1376.036,
1991-10,-44.324,
1992-01,297.045,
1992-04,-1909.033,
1992-07,-1533.971,
1992-10,-2900.231,
1993-01,823.943,
1993-04,-2422.082,
1993-07,-5340.942,
1993-10,-2632.206,
1994-01,-1415.289,
1994-04,-3782.669,
1994-07,-6370.486,
1994-10,-2652.565,
1995-01,-2901.827,
1995-04,-3507.436,
1995-07,-5646.181,
1995-10,-642.614,
1996-01,-1495.504,
1996-04,-5581.586,
1996-07,-7212.741,
1996-10,-311.159,
1997-01,-6207.378,
1997-04,-4059.468,
1997-07,-7848.431,
1997-10,1196.672,
1998-01,-5888.230,
1998-04,-3007.455,
1998-07,-7487.182,
1998-10,155.863,
1999-01,-3567.210,
1999-04,-4555.634,
1999-07,-8569.889,
1999-10,1217.783,
2000-01,2743.109,
2000-04,-1457.562,
2000-07,-10642.968,
2000-10,1828.928,
2001-01,3346.644,
2001-04,-1949.120,
2001-07,-355.637,
2001-10,7803.328,
2002-01,6227.672,
2002-04,4545.609,
2002-07,4577.956,
2002-10,12696.885,
2003-01,8641.214,
2003-04,1705.124,
2003-07,2974.479,
2003-10,17566.232,
2004-01,14392.240,
2004-04,15727.322,
2004-07,11043.336,
2004-10,22816.904,
2005-01,17507.080,
2005-04,18621.358,
2005-07,13464.704,
2005-10,24526.680,
2006-01,25679.231,
2006-04,24653.235,
2006-07,20301.960,
2006-10,33432.099,
2007-01,33745.726,
2007-04,27920.756,
2007-07,26252.949,
2007-10,39881.605,
2008-01,35638.436,
2008-04,25297.079,
2008-07,18561.998,
2008-10,23443.959,
2009-01,24358.230,
2009-04,21875.443,
2009-07,25651.943,
2009-10,35192.445,
2010-01,22398.811,
2010-04,19662.290,
2010-07,17591.102,
2010-10,31230.641,
2011-01,27905.283,
2011-04,20033.870,
2011-07,23033.449,
2011-10,32550.034,
2012-01,26671.628,
2012-04,21805.097,
2012-07,21253.925,
2012-10,29655.792,
2013-01,20804.584,
2013-04,19064.519,
2013-07,15539.552,
2013-10,28645.464,
2014-01,23690.482,Provisional value
2014-04,18537.923,Provisional value
2014-07,23295.969,Provisional value
