"",BBSF2.M.1.P.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:37,
2009-09,2,
2009-10,61,
2009-11,716,
2009-12,22,
2010-01,49,
2010-02,51,
2010-03,56,
2010-04,48,
2010-05,55,
2010-06,46,
2010-07,50,
2010-08,152,
2010-09,26,
2010-10,60,
2010-11,342,
2010-12,11,
2011-01,64,
2011-02,52,
2011-03,53,
2011-04,36,
2011-05,174,
2011-06,12,
2011-07,413,
2011-08,150,
2011-09,20,
2011-10,13,
2011-11,863,
2011-12,198,
2012-01,15,
2012-02,10,
2012-03,12,
2012-04,209,
2012-05,546,
2012-06,126,
2012-07,26,
2012-08,7,
2012-09,9,
2012-10,8,
2012-11,864,
2012-12,6,
2013-01,5,
2013-02,6,
2013-03,22,
2013-04,8,
2013-05,5,
2013-06,4,
2013-07,11,
2013-08,6,
2013-09,9,
2013-10,12,
2013-11,14,
2013-12,14,
2014-01,22,
2014-02,21,
2014-03,76,
2014-04,16,
2014-05,17,
2014-06,19,
2014-07,35,
2014-08,23,
2014-09,17,
2014-10,75,
2014-11,27,
