"",BBK01.OEAD02Q,BBK01.OEAD02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:12,
2002-01,0.262,
2002-04,0.260,
2002-07,0.266,
2002-10,0.252,
2003-01,0.261,
2003-04,0.251,
2003-07,0.259,
2003-10,0.244,
2004-01,0.263,
2004-04,0.188,
2004-07,0.183,
2004-10,0.176,
2005-01,0.156,
2005-04,0.155,
2005-07,0.150,
2005-10,0.149,
2006-01,0.156,
2006-04,0.153,
2006-07,0.152,
2006-10,0.184,
2007-01,0.284,
2007-04,0.294,
2007-07,0.331,
2007-10,0.331,
2008-01,0.258,
2008-04,0.227,
2008-07,0.316,
2008-10,0.292,
2009-01,0.323,
2009-04,0.220,
2009-07,0.221,
2009-10,0.219,
2010-01,0.351,
2010-04,0.243,
2010-07,0.171,
2010-10,0.149,
2011-01,0.167,
2011-04,0.177,
2011-07,0.176,
2011-10,0.147,
2012-01,0.147,
2012-04,0.206,
2012-07,0.184,
2012-10,0.142,
2013-01,0.156,
2013-04,0.131,
2013-07,0.188,
2013-10,0.177,
2014-01,0.207,
2014-04,0.212,
2014-07,0.175,
