"",BBK01.OEHJ04T,BBK01.OEHJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:36,
2002-01,0.304,
2002-04,0.303,
2002-07,0.300,
2002-10,0.331,
2003-01,0.292,
2003-04,0.273,
2003-07,0.272,
2003-10,0.287,
2004-01,0.288,
2004-04,0.274,
2004-07,0.272,
2004-10,0.278,
2005-01,0.272,
2005-04,0.269,
2005-07,0.276,
2005-10,0.279,
2006-01,0.287,
2006-04,0.275,
2006-07,0.280,
2006-10,0.275,
2007-01,0.275,
2007-04,0.260,
2007-07,0.278,
2007-10,0.286,
2008-01,0.288,
2008-04,0.298,
2008-07,0.342,
2008-10,0.416,
2009-01,0.347,
2009-04,0.302,
2009-07,0.248,
2009-10,0.233,
2010-01,0.220,
2010-04,0.235,
2010-07,0.198,
2010-10,0.215,
2011-01,0.224,
2011-04,0.207,
2011-07,0.248,
2011-10,0.186,
2012-01,0.165,
2012-04,0.171,
2012-07,0.164,
2012-10,0.157,
2013-01,0.126,
2013-04,0.138,
2013-07,0.136,
2013-10,0.139,
2014-01,0.151,
2014-04,0.139,
2014-07,0.122,
