"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:04,
1991-01,343.892,
1991-04,303.026,
1991-07,436.410,
1991-10,327.314,
1992-01,142.312,
1992-04,124.565,
1992-07,544.819,
1992-10,636.427,
1993-01,101.736,
1993-04,144.763,
1993-07,68.961,
1993-10,870.568,
1994-01,959.426,
1994-04,573.960,
1994-07,-310.280,
1994-10,1126.356,
1995-01,2412.070,
1995-04,851.728,
1995-07,1245.364,
1995-10,2006.607,
1996-01,1804.898,
1996-04,3670.826,
1996-07,529.780,
1996-10,5584.458,
1997-01,-1004.223,
1997-04,3542.818,
1997-07,574.290,
1997-10,-520.901,
1998-01,5249.920,
1998-04,6041.633,
1998-07,-8296.401,
1998-10,-859.613,
1999-01,1239.563,
1999-04,3685.693,
1999-07,-1782.444,
1999-10,37154.747,
2000-01,10949.874,
2000-04,19918.015,
2000-07,-8549.927,
2000-10,-31744.831,
2001-01,12229.165,
2001-04,-6389.504,
2001-07,3801.218,
2001-10,228.786,
2002-01,-1030.748,
2002-04,7503.234,
2002-07,4107.276,
2002-10,-4545.622,
2003-01,9835.298,
2003-04,-1525.750,
2003-07,-93.230,
2003-10,6013.201,
2004-01,4298.998,
2004-04,164.899,
2004-07,-1709.952,
2004-10,-11708.620,
2005-01,1534.770,
2005-04,5905.787,
2005-07,2438.056,
2005-10,8457.259,
2006-01,3591.945,
2006-04,385.077,
2006-07,14614.850,
2006-10,-152.587,
2007-01,1802.996,
2007-04,7918.262,
2007-07,672.771,
2007-10,-3145.057,
2008-01,6548.927,
2008-04,-2896.306,
2008-07,2901.627,
2008-10,-1567.820,
2009-01,590.213,
2009-04,6653.177,
2009-07,-1378.681,
2009-10,-3283.575,
2010-01,12174.887,
2010-04,2730.089,
2010-07,-1382.714,
2010-10,881.706,
2011-01,2151.215,
2011-04,-3191.257,
2011-07,-448.773,
2011-10,-5492.629,
2012-01,4107.895,
2012-04,766.356,
2012-07,6974.996,
2012-10,321.245,
2013-01,2210.609,
2013-04,2172.543,
2013-07,113.226,
2013-10,-797.508,
2014-01,3000.928,Provisional value
2014-04,2396.168,Provisional value
2014-07,5263.803,Provisional value
2014-10,979.591,Provisional value
