"",BBK01.WXI011,BBK01.WXI011_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:59,
2009-01,33118,
2009-02,33057,
2009-03,32256,
2009-04,33044,
2009-05,33484,
2009-06,34518,
2009-07,34903,
2009-08,34996,
2009-09,35682,
2009-10,35523,
2009-11,35155,
2009-12,35726,
2010-01,36141,
2010-02,36347,
2010-03,36777,
2010-04,36748,
2010-05,37252,
2010-06,38067,
2010-07,37432,
2010-08,37736,
2010-09,37133,
2010-10,36819,
2010-11,37541,
2010-12,37095,
2011-01,36884,
2011-02,36832,
2011-03,36412,
2011-04,36023,
2011-05,36252,
2011-06,35938,
2011-07,36151,
2011-08,35973,
2011-09,36328,
2011-10,35912,
2011-11,36413,
2011-12,36622,
2012-01,36633,
2012-02,36086,
2012-03,36077,
2012-04,36267,
2012-05,36911,
2012-06,36866,
2012-07,37023,
2012-08,35908,
2012-09,35848,
2012-10,35177,
2012-11,34904,
2012-12,35419,
2013-01,34834,
2013-02,35028,
2013-03,34634,
2013-04,34203,
2013-05,34013,
2013-06,33995,
2013-07,33468,
2013-08,32995,
2013-09,33182,
2013-10,32821,
2013-11,33261,
2013-12,33870,
2014-01,33815,
2014-02,33519,
2014-03,33918,
2014-04,33986,
2014-05,34173,
2014-06,34495,
2014-07,34132,
2014-08,34035,
2014-09,34260,
2014-10,33729,
2014-11,33709,
