"",BBK01.OEHB24P,BBK01.OEHB24P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:42,
2002-01,0.714,
2002-04,0.694,
2002-07,0.691,
2002-10,0.683,
2003-01,0.682,
2003-04,0.679,
2003-07,0.667,
2003-10,0.651,
2004-01,0.644,
2004-04,0.644,
2004-07,0.659,
2004-10,0.680,
2005-01,0.709,
2005-04,0.711,
2005-07,0.731,
2005-10,0.751,
2006-01,0.694,
2006-04,0.673,
2006-07,0.669,
2006-10,0.725,
2007-01,0.705,
2007-04,0.702,
2007-07,0.726,
2007-10,0.728,
2008-01,0.728,
2008-04,0.719,
2008-07,0.725,
2008-10,0.753,
2009-01,0.770,
2009-04,0.735,
2009-07,0.705,
2009-10,0.809,
2010-01,0.831,
2010-04,0.857,
2010-07,0.899,
2010-10,0.963,
2011-01,0.998,
2011-04,1.003,
2011-07,1.032,
2011-10,1.016,
2012-01,1.028,
2012-04,1.060,
2012-07,1.057,
2012-10,1.074,
2013-01,1.076,
2013-04,1.111,
2013-07,1.112,
2013-10,1.108,
2014-01,1.118,
2014-04,1.123,
2014-07,1.147,
