"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2007-03,97.988,
2007-04,92.164,
2007-05,86.300,
2007-06,89.928,
2007-07,90.653,
2007-08,89.191,
2007-09,83.631,
2007-10,96.703,
2007-11,94.958,
2007-12,81.572,
2008-01,98.459,
2008-02,90.311,
2008-03,97.643,
2008-04,91.286,
2008-05,86.345,
2008-06,80.352,
2008-07,82.069,
2008-08,81.743,
2008-09,87.223,
2008-10,80.099,
2008-11,75.191,
2008-12,77.436,
2009-01,85.176,
2009-02,85.250,
2009-03,101.969,
2009-04,100.888,
2009-05,94.197,
2009-06,101.606,
2009-07,94.759,
2009-08,93.579,
2009-09,97.837,
2009-10,99.153,
2009-11,95.942,
2009-12,101.209,
2010-01,93.884,
2010-02,96.979,
2010-03,99.218,
2010-04,105.587,
2010-05,101.932,
2010-06,98.396,
2010-07,104.074,
2010-08,104.409,
2010-09,106.932,
2010-10,109.694,
2010-11,108.697,
2010-12,96.108,
2011-01,111.195,
2011-02,107.602,
2011-03,101.044,
2011-04,100.939,
2011-05,107.725,
2011-06,113.370,
2011-07,119.495,
2011-08,136.623,
2011-09,138.277,
2011-10,150.031,
2011-11,149.978,
2011-12,119.842,
2012-01,138.517,
2012-02,143.877,
2012-03,145.053,
2012-04,149.729,
2012-05,159.648,
2012-06,172.515,
2012-07,170.033,
2012-08,157.186,
2012-09,171.112,
2012-10,160.850,
2012-11,165.101,
2012-12,147.586,
2013-01,171.210,
2013-02,175.347,
2013-03,173.412,
2013-04,171.205,
2013-05,168.166,
2013-06,175.908,
2013-07,163.583,
2013-08,148.915,
2013-09,152.177,
2013-10,160.086,
2013-11,157.420,
2013-12,146.298,
2014-01,153.621,
2014-02,153.938,
2014-03,171.514,
2014-04,162.025,
2014-05,178.750,
2014-06,168.288,
2014-07,159.147,
2014-08,162.952,
2014-09,166.494,
2014-10,159.737,
2014-11,164.420,
2014-12,134.477,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
