"",BBK01.OEAE13Q,BBK01.OEAE13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:22,
2002-01,1.123,
2002-04,1.167,
2002-07,1.198,
2002-10,1.395,
2003-01,1.331,
2003-04,1.300,
2003-07,1.112,
2003-10,1.036,
2004-01,0.919,
2004-04,0.739,
2004-07,0.698,
2004-10,0.832,
2005-01,0.826,
2005-04,0.806,
2005-07,0.898,
2005-10,0.857,
2006-01,0.760,
2006-04,0.766,
2006-07,0.742,
2006-10,0.780,
2007-01,0.770,
2007-04,0.742,
2007-07,0.807,
2007-10,0.868,
2008-01,0.790,
2008-04,0.829,
2008-07,0.855,
2008-10,0.857,
2009-01,0.450,
2009-04,0.466,
2009-07,0.439,
2009-10,0.461,
2010-01,0.471,
2010-04,0.450,
2010-07,0.397,
2010-10,0.387,
2011-01,0.349,
2011-04,0.321,
2011-07,0.306,
2011-10,0.288,
2012-01,0.311,
2012-04,0.336,
2012-07,0.360,
2012-10,0.350,
2013-01,0.351,
2013-04,0.387,
2013-07,0.414,
2013-10,0.396,
2014-01,0.398,
2014-04,0.424,
2014-07,0.398,
