"",BBK01.OEBI01Q,BBK01.OEBI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:15,
2002-01,9.996,
2002-04,9.725,
2002-07,9.618,
2002-10,10.075,
2003-01,9.785,
2003-04,9.632,
2003-07,11.149,
2003-10,10.420,
2004-01,9.813,
2004-04,9.829,
2004-07,9.801,
2004-10,9.972,
2005-01,12.229,
2005-04,12.217,
2005-07,12.542,
2005-10,12.754,
2006-01,13.268,
2006-04,13.965,
2006-07,13.936,
2006-10,15.165,
2007-01,16.185,
2007-04,17.683,
2007-07,18.401,
2007-10,19.527,
2008-01,20.315,
2008-04,22.316,
2008-07,23.137,
2008-10,23.732,
2009-01,22.662,
2009-04,23.032,
2009-07,22.631,
2009-10,22.691,
2010-01,22.572,
2010-04,23.063,
2010-07,23.016,
2010-10,23.758,
2011-01,23.431,
2011-04,23.510,
2011-07,23.687,
2011-10,24.111,
2012-01,24.575,
2012-04,24.602,
2012-07,24.997,
2012-10,25.597,
2013-01,25.122,
2013-04,25.769,
2013-07,25.997,
2013-10,26.948,
2014-01,26.888,
2014-04,27.219,
2014-07,27.651,
