"",BBK01.OXA7B4,BBK01.OXA7B4_FLAGS
"",Long-term loans to Financial vehicle corporations (FVCs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:04,
2010-06,0.057,
2010-07,0.049,
2010-08,0.047,
2010-09,0.045,
2010-10,0.044,
2010-11,0.043,
2010-12,0.041,
2011-01,0.039,
2011-02,0.038,
2011-03,0.037,
2011-04,0.036,
2011-05,0.034,
2011-06,0.033,
2011-07,0.233,
2011-08,0.232,
2011-09,0.230,
2011-10,0.210,
2011-11,0.209,
2011-12,0.205,
2012-01,0.230,
2012-02,0.275,
2012-03,0.275,
2012-04,0.561,
2012-05,0.533,
2012-06,0.534,
2012-07,0.541,
2012-08,0.540,
2012-09,0.535,
2012-10,0.530,
2012-11,0.567,
2012-12,0.518,
2013-01,0.515,
2013-02,0.522,
2013-03,0.639,
2013-04,0.630,
2013-05,0.632,
2013-06,1.299,
2013-07,1.441,
2013-08,1.433,
2013-09,1.174,
2013-10,1.170,
2013-11,1.153,
2013-12,1.140,
2014-01,1.148,
2014-02,1.136,
2014-03,1.224,
2014-04,1.329,
2014-05,1.310,
2014-06,1.503,
2014-07,1.499,
2014-08,1.492,
2014-09,1.514,
2014-10,1.498,
2014-11,1.472,
2014-12,1.469,Provisional value
