"",BBK01.OEAE29O,BBK01.OEAE29O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:00,
2002-01,1.863,
2002-04,2.118,
2002-07,2.196,
2002-10,2.237,
2003-01,2.293,
2003-04,1.998,
2003-07,2.022,
2003-10,2.308,
2004-01,2.318,
2004-04,2.938,
2004-07,2.973,
2004-10,3.072,
2005-01,3.092,
2005-04,3.095,
2005-07,3.117,
2005-10,3.113,
2006-01,3.116,
2006-04,2.959,
2006-07,2.996,
2006-10,2.955,
2007-01,3.048,
2007-04,3.080,
2007-07,3.086,
2007-10,3.142,
2008-01,3.113,
2008-04,3.123,
2008-07,2.945,
2008-10,3.614,
2009-01,3.957,
2009-04,3.755,
2009-07,3.774,
2009-10,4.955,
2010-01,3.920,
2010-04,3.905,
2010-07,4.052,
2010-10,4.209,
2011-01,3.943,
2011-04,3.991,
2011-07,3.750,
2011-10,3.652,
2012-01,3.782,
2012-04,3.835,
2012-07,4.075,
2012-10,4.108,
2013-01,4.171,
2013-04,4.312,
2013-07,6.298,
2013-10,6.817,
2014-01,6.893,
2014-04,6.800,
2014-07,6.713,
