"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC3___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC3___BH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Other modes of transport / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:31,
1991-01,183.597,
1991-02,207.179,
1991-03,185.527,
1991-04,193.768,
1991-05,183.899,
1991-06,195.977,
1991-07,174.350,
1991-08,210.620,
1991-09,193.147,
1991-10,196.920,
1991-11,221.977,
1991-12,199.924,
1992-01,200.126,
1992-02,205.861,
1992-03,183.522,
1992-04,219.828,
1992-05,210.684,
1992-06,213.199,
1992-07,204.245,
1992-08,219.554,
1992-09,203.623,
1992-10,215.379,
1992-11,202.185,
1992-12,218.364,
1993-01,194.002,
1993-02,180.132,
1993-03,195.822,
1993-04,196.656,
1993-05,181.060,
1993-06,208.178,
1993-07,181.292,
1993-08,184.413,
1993-09,197.368,
1993-10,193.249,
1993-11,180.743,
1993-12,218.585,
1994-01,185.845,
1994-02,187.078,
1994-03,187.110,
1994-04,202.673,
1994-05,202.100,
1994-06,214.795,
1994-07,180.265,
1994-08,178.824,
1994-09,178.537,
1994-10,184.536,
1994-11,176.783,
1994-12,211.920,
1995-01,187.333,
1995-02,184.608,
1995-03,185.578,
1995-04,188.890,
1995-05,183.187,
1995-06,191.218,
1995-07,176.880,
1995-08,191.656,
1995-09,176.454,
1995-10,192.566,
1995-11,187.638,
1995-12,199.033,
1996-01,188.682,
1996-02,184.355,
1996-03,190.493,
1996-04,189.023,
1996-05,199.425,
1996-06,200.076,
1996-07,190.092,
1996-08,184.078,
1996-09,192.590,
1996-10,212.617,
1996-11,195.235,
1996-12,214.758,
1997-01,176.408,
1997-02,196.881,
1997-03,187.342,
1997-04,204.196,
1997-05,199.074,
1997-06,215.727,
1997-07,224.575,
1997-08,198.753,
1997-09,217.381,
1997-10,242.011,
1997-11,218.707,
1997-12,222.321,
1998-01,219.316,
1998-02,215.293,
1998-03,215.985,
1998-04,222.625,
1998-05,213.158,
1998-06,236.439,
1998-07,257.229,
1998-08,207.917,
1998-09,220.687,
1998-10,241.017,
1998-11,234.885,
1998-12,210.908,
1999-01,199.221,
1999-02,199.957,
1999-03,233.370,
1999-04,215.742,
1999-05,226.067,
1999-06,250.936,
1999-07,234.452,
1999-08,231.501,
1999-09,239.636,
1999-10,236.684,
1999-11,256.107,
1999-12,235.009,
2000-01,229.901,
2000-02,234.920,
2000-03,239.061,
2000-04,249.467,
2000-05,271.188,
2000-06,266.799,
2000-07,284.016,
2000-08,265.820,
2000-09,274.438,
2000-10,286.331,
2000-11,292.603,
2000-12,259.505,
2001-01,274.433,
2001-02,266.039,
2001-03,274.799,
2001-04,274.913,
2001-05,291.197,
2001-06,284.046,
2001-07,306.290,
2001-08,288.990,
2001-09,267.620,
2001-10,288.363,
2001-11,304.473,
2001-12,253.176,
2002-01,243.317,
2002-02,272.335,
2002-03,269.987,
2002-04,275.939,
2002-05,254.690,
2002-06,291.911,
2002-07,302.777,
2002-08,275.448,
2002-09,286.800,
2002-10,297.025,
2002-11,293.866,
2002-12,252.007,
2003-01,264.287,
2003-02,261.458,
2003-03,275.416,
2003-04,263.307,
2003-05,273.557,
2003-06,263.211,
2003-07,286.822,
2003-08,254.962,
2003-09,275.113,
2003-10,273.368,
2003-11,284.285,
2003-12,259.122,
2004-01,252.560,
2004-02,266.480,
2004-03,301.859,
2004-04,278.593,
2004-05,274.286,
2004-06,292.447,
2004-07,297.802,
2004-08,275.089,
2004-09,294.200,
2004-10,304.494,
2004-11,318.272,
2004-12,295.671,
2005-01,176.078,
2005-02,162.939,
2005-03,189.014,
2005-04,164.501,
2005-05,208.216,
2005-06,192.214,
2005-07,185.063,
2005-08,197.897,
2005-09,202.784,
2005-10,203.860,
2005-11,194.646,
2005-12,185.990,
2006-01,208.132,
2006-02,199.341,
2006-03,186.571,
2006-04,199.388,
2006-05,190.395,
2006-06,206.660,
2006-07,230.252,
2006-08,201.855,
2006-09,211.772,
2006-10,223.173,
2006-11,209.991,
2006-12,200.268,
2007-01,206.422,
