"",BBDE1.M.DE.Y.AEB1.N2C260000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.N2C260000.F.C.I10.A_FLAGS
"","Orders received from the domestic market / At constant prices / Germany / 26 Manufacture of computer, electronic and optical products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:16,
1991-01,60.3,
1991-02,53.4,
1991-03,53.0,
1991-04,55.4,
1991-05,53.9,
1991-06,53.3,
1991-07,48.2,
1991-08,63.6,
1991-09,48.3,
1991-10,54.5,
1991-11,50.2,
1991-12,48.4,
1992-01,50.9,
1992-02,54.5,
1992-03,54.4,
1992-04,64.9,
1992-05,60.2,
1992-06,52.8,
1992-07,54.5,
1992-08,52.6,
1992-09,60.1,
1992-10,48.2,
1992-11,47.4,
1992-12,50.7,
1993-01,45.0,
1993-02,50.4,
1993-03,44.9,
1993-04,39.9,
1993-05,41.7,
1993-06,43.5,
1993-07,46.1,
1993-08,49.1,
1993-09,55.1,
1993-10,47.6,
1993-11,41.4,
1993-12,44.2,
1994-01,37.6,
1994-02,38.2,
1994-03,40.4,
1994-04,39.4,
1994-05,39.9,
1994-06,40.2,
1994-07,42.2,
1994-08,40.0,
1994-09,41.4,
1994-10,42.2,
1994-11,43.9,
1994-12,41.9,
1995-01,40.9,
1995-02,43.6,
1995-03,42.4,
1995-04,42.1,
1995-05,40.2,
1995-06,43.6,
1995-07,43.9,
1995-08,44.1,
1995-09,43.9,
1995-10,38.6,
1995-11,42.1,
1995-12,42.5,
1996-01,46.3,
1996-02,45.8,
1996-03,42.7,
1996-04,46.6,
1996-05,43.9,
1996-06,48.2,
1996-07,48.5,
1996-08,43.5,
1996-09,42.9,
1996-10,48.2,
1996-11,50.5,
1996-12,46.9,
1997-01,45.8,
1997-02,42.0,
1997-03,43.6,
1997-04,44.6,
1997-05,43.7,
1997-06,42.5,
1997-07,42.8,
1997-08,41.8,
1997-09,40.3,
1997-10,42.8,
1997-11,43.4,
1997-12,42.2,
1998-01,45.8,
1998-02,46.6,
1998-03,45.5,
1998-04,43.8,
1998-05,50.3,
1998-06,46.7,
1998-07,45.2,
1998-08,42.8,
1998-09,44.4,
1998-10,42.7,
1998-11,41.8,
1998-12,43.0,
1999-01,43.0,
1999-02,45.8,
1999-03,45.4,
1999-04,44.4,
1999-05,47.2,
1999-06,59.7,
