"",BBFN1.M.DE.N.1.L.MX.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MX.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2012-11,0.246,
2012-12,0.244,
2013-01,0.240,
2013-02,0.246,
2013-03,0.253,
2013-04,0.199,
2013-05,0.207,
2013-06,0.151,
2013-07,0.149,
2013-08,0.149,
2013-09,0.147,
2013-10,0.145,
2013-11,0.157,
2013-12,0.142,
2014-01,0.144,
2014-02,0.142,
2014-03,0.141,
2014-04,0.140,
2014-05,0.143,
2014-06,0.143,
2014-07,0.146,
2014-08,0.147,
2014-09,0.154,
2014-10,0.154,
2014-11,0.164,
2014-12,0.158,
