"",BBK01.OEAC03O,BBK01.OEAC03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:45,
2002-01,0.553,
2002-04,0.564,
2002-07,0.569,
2002-10,0.539,
2003-01,0.561,
2003-04,0.575,
2003-07,0.593,
2003-10,0.588,
2004-01,0.666,
2004-04,0.595,
2004-07,0.604,
2004-10,0.654,
2005-01,0.731,
2005-04,0.747,
2005-07,0.742,
2005-10,0.729,
2006-01,0.778,
2006-04,0.791,
2006-07,0.804,
2006-10,0.822,
2007-01,0.849,
2007-04,0.842,
2007-07,0.840,
2007-10,0.878,
2008-01,0.914,
2008-04,0.963,
2008-07,0.912,
2008-10,1.112,
2009-01,1.240,
2009-04,1.233,
2009-07,1.261,
2009-10,1.370,
2010-01,1.518,
2010-04,1.826,
2010-07,1.959,
2010-10,1.988,
2011-01,1.965,
2011-04,1.954,
2011-07,2.003,
2011-10,2.102,
2012-01,2.154,
2012-04,2.480,
2012-07,2.564,
2012-10,2.629,
2013-01,2.774,
2013-04,2.876,
2013-07,2.789,
2013-10,2.862,
2014-01,2.806,
2014-04,2.934,
2014-07,2.974,
