"",BBK01.OEHB07N,BBK01.OEHB07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:08,
2002-01,9.660,
2002-04,9.682,
2002-07,9.691,
2002-10,9.778,
2003-01,9.806,
2003-04,9.832,
2003-07,9.803,
2003-10,9.771,
2004-01,9.755,
2004-04,9.549,
2004-07,9.458,
2004-10,9.211,
2005-01,8.934,
2005-04,8.867,
2005-07,8.872,
2005-10,8.746,
2006-01,8.723,
2006-04,8.810,
2006-07,8.809,
2006-10,8.815,
2007-01,8.903,
2007-04,9.087,
2007-07,9.226,
2007-10,9.533,
2008-01,9.637,
2008-04,9.722,
2008-07,9.998,
2008-10,9.968,
2009-01,10.004,
2009-04,10.853,
2009-07,11.399,
2009-10,11.537,
2010-01,11.495,
2010-04,11.665,
2010-07,11.977,
2010-10,11.945,
2011-01,11.859,
2011-04,12.168,
2011-07,12.436,
2011-10,12.451,
2012-01,12.477,
2012-04,11.906,
2012-07,11.730,
2012-10,11.892,
2013-01,12.031,
2013-04,11.912,
2013-07,11.746,
2013-10,11.620,
2014-01,11.361,
2014-04,11.383,
2014-07,11.458,
