"",BBK01.OEAI10N,BBK01.OEAI10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:07,
2002-01,5.456,
2002-04,5.447,
2002-07,5.394,
2002-10,5.410,
2003-01,5.309,
2003-04,5.272,
2003-07,5.215,
2003-10,5.191,
2004-01,5.100,
2004-04,5.060,
2004-07,4.951,
2004-10,3.501,
2005-01,4.888,
2005-04,4.832,
2005-07,4.778,
2005-10,4.757,
2006-01,4.652,
2006-04,4.550,
2006-07,4.492,
2006-10,4.485,
2007-01,4.400,
2007-04,4.330,
2007-07,4.230,
2007-10,4.185,
2008-01,4.064,
2008-04,4.001,
2008-07,3.947,
2008-10,3.943,
2009-01,3.861,
2009-04,3.817,
2009-07,3.783,
2009-10,4.046,
2010-01,3.648,
2010-04,3.608,
2010-07,3.508,
2010-10,3.441,
2011-01,3.397,
2011-04,3.253,
2011-07,3.196,
2011-10,3.151,
2012-01,3.086,
2012-04,3.051,
2012-07,2.997,
2012-10,3.149,
2013-01,3.092,
2013-04,3.054,
2013-07,2.994,
2013-10,2.950,
2014-01,2.885,
2014-04,2.835,
2014-07,2.756,
