"",BBK01.CEHEQ2,BBK01.CEHEQ2_FLAGS
"",short-term loans  (consolidated) debtor:  All sectors                  creditor:  Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:59,
1991-01,7.0,
1991-04,15.6,
1991-07,3.5,
1991-10,15.6,
1992-01,-2.9,
1992-04,15.6,
1992-07,-9.0,
1992-10,10.4,
1993-01,-4.6,
1993-04,0.6,
1993-07,-2.1,
1993-10,5.5,
1994-01,-6.6,
1994-04,0.0,
1994-07,-0.6,
1994-10,14.3,
1995-01,6.1,
1995-04,10.8,
1995-07,1.4,
1995-10,7.8,
1996-01,5.2,
1996-04,14.1,
1996-07,-6.4,
1996-10,28.2,
1997-01,17.4,
1997-04,-2.2,
1997-07,1.0,
1997-10,8.9,
1998-01,11.5,
1998-04,11.2,
1998-07,13.2,
1998-10,-5.4,
1999-01,26.7,
1999-04,11.7,
1999-07,-6.5,
1999-10,22.0,
2000-01,23.1,
2000-04,28.1,
2000-07,-32.7,
2000-10,-4.6,
2001-01,101.8,
2001-04,-33.7,
2001-07,-9.1,
2001-10,-34.1,
2002-01,22.6,
2002-04,-25.8,
2002-07,31.0,
2002-10,-20.2,
2003-01,33.2,
2003-04,-24.9,
2003-07,7.4,
2003-10,2.5,
2004-01,39.7,
2004-04,-59.6,
2004-07,43.2,
2004-10,-14.6,
2005-01,19.1,
2005-04,-17.8,
2005-07,23.4,
2005-10,-13.0,
2006-01,12.5,
2006-04,-6.4,
2006-07,44.3,
2006-10,-58.0,
2007-01,62.3,
2007-04,14.8,
2007-07,37.2,
2007-10,18.1,
2008-01,84.2,
2008-04,-7.2,
2008-07,14.8,
2008-10,-19.9,
2009-01,43.4,
2009-04,25.3,
2009-07,-36.9,
2009-10,-36.1,
2010-01,34.9,
2010-04,76.4,
2010-07,23.5,
2010-10,67.9,
2011-01,-3.1,
2011-04,18.1,
2011-07,142.5,
2011-10,-43.7,
2012-01,196.0,
2012-04,105.8,
2012-07,-20.4,
2012-10,-74.8,
2013-01,-48.1,
2013-04,2.2,
2013-07,-44.2,
2013-10,-75.5,
2014-01,-20.6,
